"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Westminster","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Suffolk CC","325","310","34700","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Dorset","125","120","34110","29990"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","North Yorkshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Wales","Cardiff and Vale of Glamorgan","20","20","36720","36150"
"In post","2022","Analysis","Companies House","Yorkshire and The Humber","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Tower Hamlets","130","125","62170","56360"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","South East (England)","Central Hampshire","380","365","41770","41600"
"In post","2022","Analysis","Defence Science and Technology Laboratory","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","South West (England)","Wiltshire","120","115","38600","38070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Westminster","235","230","43170","37250"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","Greater Manchester South West","10","10","33120","27470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
