"Status","Year","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","30","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","35","30","38790","33310"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","530","490","56680","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","345","315","27660","25480"
"In post","2022","Declared disabled","Attorney General's Departments","Other","45","40","33900","27740"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Commercial","30","30","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Human Resources","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Project Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Property","25","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","805","780","44100","38890"
"In post","2022","Declared disabled","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Other","15","15","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Communications","[c]","[c]","[c]","[c]"
