"Status","Year","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Operational Delivery","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Economics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Legal","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Project Delivery","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Commercial","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Communications","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Counter Fraud","35","30","35540","37700"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","70","70","36440","36300"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Economics","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Finance","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Human Resources","50","50","43100","40100"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Legal","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Operational Delivery","440","410","31560","27720"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Policy","440","430","47160","44080"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Project Delivery","30","30","40240","36740"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Science and Engineering","75","70","38690","39460"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Security","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Economics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Finance","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Human Resources","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Other","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Policy","95","90","43370","34280"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Project Delivery","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Commercial","35","35","39250","36870"
"In post","2022","Declared disabled","Department for Education","Communications","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Digital, Data and Technology","90","85","37870","36500"
"In post","2022","Declared disabled","Department for Education","Finance","75","70","41060","36960"
"In post","2022","Declared disabled","Department for Education","Human Resources","15","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Operational Delivery","155","150","40400","36780"
"In post","2022","Declared disabled","Department for Education","Policy","325","310","43410","40230"
"In post","2022","Declared disabled","Department for Education","Project Delivery","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Property","45","45","47750","50630"
"In post","2022","Declared disabled","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Commercial","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Communications","25","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","90","90","41330","40340"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Finance","55","50","40330","36970"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Human Resources","55","55","42430","38300"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Operational Delivery","470","430","26570","24920"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Other","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Policy","450","435","40870","36000"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Project Delivery","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Property","55","55","36540","35900"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Science and Engineering","115","110","30620","28270"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Veterinarian","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Human Resources","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","International Trade","115","110","47560","51710"
"In post","2022","Declared disabled","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Operational Delivery","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Other","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Policy","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Finance","15","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Human Resources","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Operational Delivery","90","85","32200","30190"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Planning","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Planning Inspectors","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Policy","210","205","42960","38160"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Project Delivery","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Statistics","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Commercial","35","30","35600","31850"
"In post","2022","Declared disabled","Department for Transport","Communications","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Counter Fraud","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Digital, Data and Technology","80","75","38140","36290"
"In post","2022","Declared disabled","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Finance","35","35","39080","35350"
"In post","2022","Declared disabled","Department for Transport","Human Resources","50","45","33450","31780"
"In post","2022","Declared disabled","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Operational Delivery","905","770","24640","21840"
"In post","2022","Declared disabled","Department for Transport","Operational Research","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Other","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Policy","115","105","43560","42470"
"In post","2022","Declared disabled","Department for Transport","Project Delivery","40","40","44780","42470"
"In post","2022","Declared disabled","Department for Transport","Property","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Security","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Statistics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Unknown","30","30","49940","37390"
"In post","2022","Declared disabled","Department for Work and Pensions","Commercial","80","70","32660","31990"
"In post","2022","Declared disabled","Department for Work and Pensions","Communications","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Counter Fraud","915","805","27820","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Digital, Data and Technology","400","375","39420","33850"
"In post","2022","Declared disabled","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Finance","150","135","35340","32110"
"In post","2022","Declared disabled","Department for Work and Pensions","Human Resources","160","150","37000","32000"
"In post","2022","Declared disabled","Department for Work and Pensions","Knowledge and Information Management","65","60","34680","31990"
"In post","2022","Declared disabled","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Operational Delivery","12300","10745","26430","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Other","1355","1210","26370","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Policy","170","155","45910","40420"
"In post","2022","Declared disabled","Department for Work and Pensions","Project Delivery","260","230","34040","31990"
"In post","2022","Declared disabled","Department for Work and Pensions","Property","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Psychology","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Science and Engineering","45","40","35460","31990"
"In post","2022","Declared disabled","Department for Work and Pensions","Security","65","60","35050","31990"
"In post","2022","Declared disabled","Department for Work and Pensions","Social Research","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Statistics","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","70","65","34070","27570"
"In post","2022","Declared disabled","Department of Health and Social Care","Commercial","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Communications","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Finance","30","30","38980","34810"
"In post","2022","Declared disabled","Department of Health and Social Care","Human Resources","45","45","44640","40650"
"In post","2022","Declared disabled","Department of Health and Social Care","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Medicine","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Operational Delivery","195","185","38650","32330"
"In post","2022","Declared disabled","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Other","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Policy","70","65","48630","37500"
"In post","2022","Declared disabled","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Science and Engineering","125","115","35980","32330"
"In post","2022","Declared disabled","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Inspector of Education and Training","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Finance","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Human Resources","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Operational Delivery","45","40","33480","29090"
"In post","2022","Declared disabled","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Policy","25","25","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Commercial","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Communications","5","5","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Finance","15","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Human Resources","45","45","45250","39450"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Legal","10","5","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Operational Delivery","85","85","33610","28250"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Operational Research","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Other","20","20","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Policy","355","350","47390","41450"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Project Delivery","55","50","42280","38600"
