"Status","Year","Organisation","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","AA","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Unknown","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Unknown","10","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","AO","Heterosexual / straight","30","25","21420","21250"
"In post","2022","Advisory, Conciliation and Arbitration Service","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","Heterosexual / straight","200","185","25280","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","Unknown","80","80","24470","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G7","Heterosexual / straight","35","35","55640","55470"
"In post","2022","Advisory, Conciliation and Arbitration Service","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","HEO","Heterosexual / straight","315","290","33140","31970"
"In post","2022","Advisory, Conciliation and Arbitration Service","HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","HEO","Undeclared","60","60","34230","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","HEO","Unknown","35","35","32150","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO","Heterosexual / straight","120","115","42850","43440"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AO","Heterosexual / straight","605","560","22040","21300"
"In post","2022","Animal and Plant Health Agency","AO","LGBO","60","60","22250","21300"
"In post","2022","Animal and Plant Health Agency","AO","Undeclared","80","75","21810","21300"
"In post","2022","Animal and Plant Health Agency","AO","Unknown","110","105","22460","21300"
"In post","2022","Animal and Plant Health Agency","EO","Heterosexual / straight","610","585","26380","25310"
"In post","2022","Animal and Plant Health Agency","EO","LGBO","50","50","26180","25230"
"In post","2022","Animal and Plant Health Agency","EO","Undeclared","80","70","26490","25650"
"In post","2022","Animal and Plant Health Agency","EO","Unknown","85","75","26330","26520"
"In post","2022","Animal and Plant Health Agency","G6","Heterosexual / straight","40","40","62140","61770"
"In post","2022","Animal and Plant Health Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G6","Undeclared","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G7","Heterosexual / straight","125","120","51400","51180"
"In post","2022","Animal and Plant Health Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G7","Undeclared","35","35","53020","53870"
"In post","2022","Animal and Plant Health Agency","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","HEO","Heterosexual / straight","350","340","31020","30400"
"In post","2022","Animal and Plant Health Agency","HEO","LGBO","30","30","31190","31870"
