"Status","Year","Disability","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Nottingham","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
