"Status","Year","Disability","Function_of_post","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Inner London - West","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Inner London - East","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - West","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Inner London - West","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","South Yorkshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Tees Valley and Durham","[c]","[c]","[c]","[c]"
