"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AA","80","65","21740","21640"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AO","450","425","26860","24020"
"In post","2022","Aberdeen City and Aberdeenshire","EO","EO","635","595","29630","27570"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G6","40","40","74640","73910"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G7","95","95","64080","59150"
"In post","2022","Aberdeen City and Aberdeenshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","315","300","35940","34600"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","320","300","55950","47490"
"In post","2022","Angus and Dundee City","AA/AO","AA","370","350","21590","21050"
"In post","2022","Angus and Dundee City","AA/AO","AO","700","645","21630","21260"
"In post","2022","Angus and Dundee City","EO","EO","625","585","27640","27570"
"In post","2022","Angus and Dundee City","G6/G7","G6","30","30","72780","75340"
"In post","2022","Angus and Dundee City","G6/G7","G7","45","45","57170","57190"
"In post","2022","Angus and Dundee City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","SEO/HEO","HEO","190","185","32750","31540"
"In post","2022","Angus and Dundee City","SEO/HEO","SEO","115","110","44070","40890"
"In post","2022","Antrim and Newtownabbey","AA/AO","AA","105","105","20190","20560"
"In post","2022","Antrim and Newtownabbey","AA/AO","AO","35","35","22930","22130"
"In post","2022","Antrim and Newtownabbey","EO","EO","20","20","28930","27680"
"In post","2022","Antrim and Newtownabbey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","SEO/HEO","HEO","25","25","34430","33130"
"In post","2022","Antrim and Newtownabbey","SEO/HEO","SEO","10","10","40780","39650"
"In post","2022","Ards and North Down","AA/AO","AA","100","100","20320","20560"
"In post","2022","Ards and North Down","AA/AO","AO","65","60","23490","22130"
"In post","2022","Ards and North Down","EO","EO","30","30","29150","28420"
"In post","2022","Ards and North Down","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Ards and North Down","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","SEO/HEO","HEO","20","20","35460","35730"
"In post","2022","Ards and North Down","SEO/HEO","SEO","15","15","43350","40910"
"In post","2022","Armagh City, Banbridge and Craigavon","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","AA/AO","AO","100","85","24780","24240"
"In post","2022","Barking & Dagenham and Havering","EO","EO","415","380","31030","31060"
"In post","2022","Barking & Dagenham and Havering","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","SEO/HEO","HEO","45","45","36600","36650"
"In post","2022","Barking & Dagenham and Havering","SEO/HEO","SEO","25","25","43620","42010"
"In post","2022","Barking & Dagenham and Havering","Unknown","Unknown","95","90","33650","33700"
"In post","2022","Barnet","AA/AO","AA","55","40","22320","22350"
"In post","2022","Barnet","AA/AO","AO","210","185","24520","23940"
"In post","2022","Barnet","EO","EO","480","440","29680","30780"
"In post","2022","Barnet","G6/G7","G6","80","80","70260","68520"
"In post","2022","Barnet","G6/G7","G7","230","225","56600","54290"
"In post","2022","Barnet","SCS level","SCS level","50","45","117580","106440"
"In post","2022","Barnet","SEO/HEO","HEO","275","270","34540","33340"
"In post","2022","Barnet","SEO/HEO","SEO","305","295","42680","41620"
"In post","2022","Barnet","Unknown","Unknown","110","105","32930","30200"
"In post","2022","Barnsley, Doncaster and Rotherham","AA/AO","AA","200","185","20810","20890"
"In post","2022","Barnsley, Doncaster and Rotherham","AA/AO","AO","1240","1095","23820","21260"
"In post","2022","Barnsley, Doncaster and Rotherham","EO","EO","955","840","28410","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","G6/G7","G6","10","10","70130","62010"
"In post","2022","Barnsley, Doncaster and Rotherham","G6/G7","G7","35","35","55220","49950"
"In post","2022","Barnsley, Doncaster and Rotherham","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","265","245","34280","33160"
"In post","2022","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","105","105","46080","45690"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","Unknown","305","285","29340","28200"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AA","125","120","20450","19810"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","605","545","23950","21680"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","2400","2270","25220","25920"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","555","540","68340","67150"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","1580","1540","53000","53850"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","150","145","99230","91340"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","3180","3045","31320","31950"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","3510","3385","40860","40580"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","1640","1585","40400","37530"
