"Status","Year","Disability","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Black","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Counter Fraud","AA/AO","30","25","23980","25110"
"In post","2022","Declared disabled","Black","Counter Fraud","EO","45","40","30090","31020"
"In post","2022","Declared disabled","Black","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Counter Fraud","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","EO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","SEO/HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","G6/G7","30","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","No function","AA/AO","320","290","24100","23460"
"In post","2022","Declared disabled","Black","No function","EO","505","475","29820","30480"
"In post","2022","Declared disabled","Black","No function","G6/G7","55","55","57650","55340"
"In post","2022","Declared disabled","Black","No function","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","No function","SEO/HEO","205","195","37770","36650"
"In post","2022","Declared disabled","Black","No function","Unknown","260","250","32870","31420"
"In post","2022","Declared disabled","Black","Project Delivery","AA/AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Project Delivery","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Project Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Project Delivery","SEO/HEO","30","30","36700","37620"
"In post","2022","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","AA/AO","55","50","24380","25630"
"In post","2022","Declared disabled","Black","Unknown","EO","95","90","28740","28990"
"In post","2022","Declared disabled","Black","Unknown","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","SEO/HEO","65","65","38100","36510"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","AA/AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","SEO/HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","G6/G7","25","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","No function","AA/AO","235","215","22950","21260"
"In post","2022","Declared disabled","Mixed","No function","EO","280","260","28630","27570"
"In post","2022","Declared disabled","Mixed","No function","G6/G7","55","50","56630","54350"
"In post","2022","Declared disabled","Mixed","No function","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","No function","SEO/HEO","165","155","36870","35580"
"In post","2022","Declared disabled","Mixed","No function","Unknown","135","130","31880","30210"
"In post","2022","Declared disabled","Mixed","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Project Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Project Delivery","SEO/HEO","35","30","36000","36240"
"In post","2022","Declared disabled","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","AA/AO","35","35","22880","21760"
"In post","2022","Declared disabled","Mixed","Unknown","EO","45","45","27970","27570"
"In post","2022","Declared disabled","Mixed","Unknown","G6/G7","25","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","SEO/HEO","45","40","37860","37460"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Grants Management","EO","[c]","[c]","[c]","[c]"
