"Status","Year","Function_of_post","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Angus and Dundee City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","35","35","40290","36300"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","40","40","36530","36000"
"In post","2022","Analysis","Bedford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Blackpool","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Blackpool","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","Female","65","60","37890","36050"
"In post","2022","Analysis","Bristol, City of","Outside London","Male","70","70","40900","39470"
"In post","2022","Analysis","Buckinghamshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","London","Female","75","65","69070","65470"
"In post","2022","Analysis","Camden and City of London","London","Male","150","145","68020","59180"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","Outside London","Female","110","100","38350","38070"
"In post","2022","Analysis","Central Hampshire","Outside London","Male","290","280","42560","43520"
"In post","2022","Analysis","Central Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Cheshire East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","Outside London","Female","35","35","48630","44890"
"In post","2022","Analysis","City of Edinburgh","Outside London","Male","35","30","48010","45000"
"In post","2022","Analysis","Clackmannanshire and Fife","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Clackmannanshire and Fife","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Coventry","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Coventry","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Croydon","London","Female","30","30","51180","46470"
"In post","2022","Analysis","Croydon","London","Male","30","30","51550","45300"
"In post","2022","Analysis","Darlington","Outside London","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Darlington","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Devon CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon CC","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset","Outside London","Female","60","55","31430","29750"
"In post","2022","Analysis","Dorset","Outside London","Male","65","65","36890","30220"
"In post","2022","Analysis","Durham","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Durham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","East Derbyshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lothian and Midlothian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lothian and Midlothian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Merseyside","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Merseyside","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Riding of Yorkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Riding of Yorkshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex Haven Gateway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex Haven Gateway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Glasgow City","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Glasgow City","Outside London","Male","45","45","42200","37820"
"In post","2022","Analysis","Greater Manchester North East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester North East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Gwent Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gwent Valleys","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","London","Female","65","65","49900","43810"
"In post","2022","Analysis","Hackney and Newham","London","Male","100","95","45150","38510"
"In post","2022","Analysis","Haringey and Islington","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Haringey and Islington","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Harrow and Hillingdon","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Harrow and Hillingdon","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hartlepool and Stockton-on-Tees","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hartlepool and Stockton-on-Tees","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Heart of Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Heart of Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent Thames Gateway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent Thames Gateway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lambeth","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lambeth","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leeds","Outside London","Female","125","115","39250","36820"
"In post","2022","Analysis","Leeds","Outside London","Male","130","130","40920","36050"
"In post","2022","Analysis","Leicester","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicester","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire CC and Rutland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire CC and Rutland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lewisham and Southwark","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lewisham and Southwark","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","Outside London","Female","50","45","41570","40180"
"In post","2022","Analysis","Liverpool","Outside London","Male","50","50","40450","40180"
"In post","2022","Analysis","Luton","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Luton","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Manchester","Outside London","Female","125","120","38990","33590"
"In post","2022","Analysis","Manchester","Outside London","Male","165","160","39780","34960"
"In post","2022","Analysis","Medway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merton, Kingston upon Thames and Sutton","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merton, Kingston upon Thames and Sutton","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Milton Keynes","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Milton Keynes","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","Female","685","645","36470","36840"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","Male","565","555","38060","36840"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","North and West Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North and West Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Hampshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Hampshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Northamptonshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Northamptonshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Nottinghamshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Nottinghamshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Nottingham","Outside London","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Nottingham","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Plymouth","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Plymouth","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Portsmouth","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Portsmouth","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Sefton","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Sefton","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Sheffield","Outside London","Female","100","90","45100","42320"
"In post","2022","Analysis","Sheffield","Outside London","Male","110","105","45910","45800"
"In post","2022","Analysis","Somerset CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Somerset CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","South Ayrshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South Ayrshire","Outside London","Male","[c]","[c]","[c]","[c]"
