"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","75","70","28140","27570"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Heterosexual / straight","295","280","35280","30330"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","50","45","40550","36060"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Luton","Heterosexual / straight","95","90","26610","26380"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Luton","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Luton","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Luton","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","260","240","30940","29290"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","35","30","29420","29290"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Heterosexual / straight","90","80","31620","28140"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Heterosexual / straight","110","100","30990","27570"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Heterosexual / straight","70","65","31780","27570"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Cheshire East","Heterosexual / straight","40","35","25100","24730"
"In post","2022","Asian","Cheshire","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Cheshire East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Cheshire East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Cheshire West and Chester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Cheshire West and Chester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Cheshire West and Chester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Warrington","Heterosexual / straight","40","40","32560","28920"
"In post","2022","Asian","Cheshire","Warrington","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Warrington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Warrington","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","East Cumbria","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Cumbria","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","East Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","East Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","West Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","West Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","West Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","West Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Derby","Heterosexual / straight","85","80","25980","24880"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Derby","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Derby","Unknown","15","10","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","East Derbyshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","East Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Nottingham","Heterosexual / straight","565","535","31800","27570"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Nottingham","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Nottingham","Undeclared","25","20","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Nottingham","Unknown","85","80","31280","27350"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Devon CC","Heterosexual / straight","40","40","33000","28160"
"In post","2022","Asian","Devon","Devon CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Devon CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Devon CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Plymouth","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Devon","Plymouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Plymouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Plymouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Torbay","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Torbay","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Torbay","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","Torbay","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Bournemouth, Christchurch and Poole","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Bournemouth, Christchurch and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Bournemouth, Christchurch and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Bournemouth, Christchurch and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Dorset","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Dorset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Dorset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Dorset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Somerset CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Somerset CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Somerset CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Somerset CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Cambridgeshire CC","Heterosexual / straight","75","75","33370","27900"
"In post","2022","Asian","East Anglia","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Cambridgeshire CC","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","East Anglia","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","North and West Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","North and West Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","North and West Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","North and West Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Norwich and East Norfolk","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","East Anglia","Norwich and East Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Norwich and East Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Norwich and East Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Peterborough","Heterosexual / straight","185","150","24610","21680"
"In post","2022","Asian","East Anglia","Peterborough","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","Peterborough","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","East Anglia","Peterborough","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","East Anglia","Suffolk CC","Heterosexual / straight","45","45","29120","27570"
"In post","2022","Asian","East Anglia","Suffolk CC","LGBO","[c]","[c]","[c]","[c]"
