"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","AA/AO","Female","Heterosexual / straight","2995","2615","21760","21260"
"In post","2022","East Midlands (England)","AA/AO","Female","LGBO","200","190","23220","21260"
"In post","2022","East Midlands (England)","AA/AO","Female","Undeclared","385","335","21960","21260"
"In post","2022","East Midlands (England)","AA/AO","Female","Unknown","910","780","21970","21260"
"In post","2022","East Midlands (England)","AA/AO","Male","Heterosexual / straight","2290","2220","23600","21840"
"In post","2022","East Midlands (England)","AA/AO","Male","LGBO","125","120","22910","21260"
"In post","2022","East Midlands (England)","AA/AO","Male","Undeclared","255","240","23590","21260"
"In post","2022","East Midlands (England)","AA/AO","Male","Unknown","805","765","23320","21260"
"In post","2022","East Midlands (England)","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","EO","Female","Heterosexual / straight","2435","2180","27170","27570"
"In post","2022","East Midlands (England)","EO","Female","LGBO","145","135","27210","27570"
"In post","2022","East Midlands (England)","EO","Female","Undeclared","315","280","27130","27380"
"In post","2022","East Midlands (England)","EO","Female","Unknown","705","620","27060","27380"
"In post","2022","East Midlands (England)","EO","Male","Heterosexual / straight","1760","1705","27750","27570"
"In post","2022","East Midlands (England)","EO","Male","LGBO","140","135","27360","27570"
"In post","2022","East Midlands (England)","EO","Male","Undeclared","240","225","28150","27570"
"In post","2022","East Midlands (England)","EO","Male","Unknown","555","535","27470","27130"
"In post","2022","East Midlands (England)","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","G6/G7","Female","Heterosexual / straight","655","620","57060","55210"
"In post","2022","East Midlands (England)","G6/G7","Female","LGBO","35","30","57200","55210"
"In post","2022","East Midlands (England)","G6/G7","Female","Undeclared","75","70","57340","55210"
"In post","2022","East Midlands (England)","G6/G7","Female","Unknown","100","95","58140","55210"
"In post","2022","East Midlands (England)","G6/G7","Male","Heterosexual / straight","620","600","59180","55210"
"In post","2022","East Midlands (England)","G6/G7","Male","LGBO","30","30","59680","55210"
"In post","2022","East Midlands (England)","G6/G7","Male","Undeclared","70","70","60330","55410"
"In post","2022","East Midlands (England)","G6/G7","Male","Unknown","120","115","57390","55210"
