"Status","Year","Disability","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bristol, City of","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Camden and City of London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Central Hampshire","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","City of Edinburgh","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Croydon","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hackney and Newham","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lambeth","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leeds","35","35","35390","31990"
"In post","2022","Declared disabled","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Liverpool","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Manchester","30","30","42240","40520"
"In post","2022","Declared disabled","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Monmouthshire and Newport","115","110","36050","34980"
"In post","2022","Declared disabled","Analysis","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Nottingham","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
