"Status","Year","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","AA/AO","AA","Female","525","475","20190","20310"
"In post","2022","East Midlands (England)","AA/AO","AA","Male","490","470","20250","20890"
"In post","2022","East Midlands (England)","AA/AO","AO","Female","3960","3440","22110","21260"
"In post","2022","East Midlands (England)","AA/AO","AO","Male","2990","2875","24040","22080"
"In post","2022","East Midlands (England)","EO","EO","Female","3595","3215","27140","27570"
"In post","2022","East Midlands (England)","EO","EO","Male","2695","2600","27710","27570"
"In post","2022","East Midlands (England)","G6/G7","G6","Female","200","190","67700","67410"
"In post","2022","East Midlands (England)","G6/G7","G6","Male","190","185","70760","67910"
"In post","2022","East Midlands (England)","G6/G7","G7","Female","665","625","54060","54160"
"In post","2022","East Midlands (England)","G6/G7","G7","Male","645","630","55590","55210"
"In post","2022","East Midlands (England)","SCS level","SCS level","Female","50","50","89060","84560"
"In post","2022","East Midlands (England)","SCS level","SCS level","Male","40","40","94310","88550"
"In post","2022","East Midlands (England)","SEO/HEO","HEO","Female","1760","1645","32850","33150"
"In post","2022","East Midlands (England)","SEO/HEO","HEO","Male","1635","1590","33680","33370"
"In post","2022","East Midlands (England)","SEO/HEO","SEO","Female","1100","1035","41510","40520"
"In post","2022","East Midlands (England)","SEO/HEO","SEO","Male","905","885","42250","40520"
"In post","2022","East Midlands (England)","Unknown","Unknown","Female","1195","1080","29240","28200"
"In post","2022","East Midlands (England)","Unknown","Unknown","Male","355","335","30830","28200"
"In post","2022","East of England","AA/AO","AA","Female","630","570","20340","20310"
"In post","2022","East of England","AA/AO","AA","Male","705","675","20670","20890"
"In post","2022","East of England","AA/AO","AO","Female","3295","2885","23360","21830"
"In post","2022","East of England","AA/AO","AO","Male","2790","2695","26420","25210"
"In post","2022","East of England","EO","EO","Female","3940","3525","28090","27570"
"In post","2022","East of England","EO","EO","Male","3020","2890","28660","27570"
"In post","2022","East of England","G6/G7","G6","Female","155","150","70150","67910"
"In post","2022","East of England","G6/G7","G6","Male","200","195","69450","67910"
"In post","2022","East of England","G6/G7","G7","Female","565","530","55500","53860"
"In post","2022","East of England","G6/G7","G7","Male","550","535","56220","54540"
"In post","2022","East of England","SCS level","SCS level","Female","55","55","97400","95620"
"In post","2022","East of England","SCS level","SCS level","Male","75","75","95840","93000"
"In post","2022","East of England","SEO/HEO","HEO","Female","1565","1470","33410","33300"
"In post","2022","East of England","SEO/HEO","HEO","Male","1675","1625","34180","33300"
"In post","2022","East of England","SEO/HEO","SEO","Female","970","910","42050","40580"
"In post","2022","East of England","SEO/HEO","SEO","Male","1005","980","42640","40580"
"In post","2022","East of England","Unknown","Unknown","Female","1295","1175","28630","26310"
"In post","2022","East of England","Unknown","Unknown","Male","435","415","29360","26580"
"In post","2022","London","AA/AO","AA","Female","805","710","23140","22460"
"In post","2022","London","AA/AO","AA","Male","830","795","23050","22460"
"In post","2022","London","AA/AO","AO","Female","5925","5315","25680","25110"
