"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","AO","Heterosexual / straight","30","30","21800","22200"
"In post","2022","16-19","Attorney General's Departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Undeclared","[c]","[c]","[c]","[c]"
