"Status","Year","Age","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","10","10","25960","27500"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Outside London","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","London","10","10","22390","20370"
"In post","2022","16-19","Crown Prosecution Service","Outside London","25","25","21570","22200"
"In post","2022","16-19","Defence Electronics and Components Agency","Outside London","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","Outside London","105","105","18590","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","Outside London","20","20","19760","22160"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","15","15","25110","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","10","5","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","10","10","26190","25110"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outside London","135","130","22820","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Outside London","75","60","19130","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Outside London","10","10","20330","21840"
"In post","2022","16-19","Education and Skills Funding Agency","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Outside London","25","25","19180","19110"
"In post","2022","16-19","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Outside London","20","20","20700","20970"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outside London","10","10","20610","19380"
"In post","2022","16-19","HM Prison and Probation Service","London","10","10","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Outside London","155","155","22980","23140"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Outside London","190","180","21670","21250"
"In post","2022","16-19","HM Treasury (excl. agencies)","London","10","10","23980","24300"
"In post","2022","16-19","Home Office","London","10","10","[c]","[c]"
"In post","2022","16-19","Home Office","Outside London","45","45","22700","21680"
"In post","2022","16-19","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Outside London","20","20","21380","21170"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","Outside London","10","10","21070","21300"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Outside London","10","10","21780","22000"
"In post","2022","16-19","Scottish Government (excl. agencies)","Outside London","30","30","22550","21050"
"In post","2022","16-19","Scottish Prison Service","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Outside London","20","20","21450","21050"
"In post","2022","16-19","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Outside London","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","London","5","5","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Outside London","10","10","20500","19880"
"In post","2022","16-19","UK Statistics Authority","Outside London","25","20","21030","19860"
"In post","2022","16-19","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Outside London","15","15","24780","25000"
"In post","2022","16-19","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Outside London","10","10","25660","23230"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","London","20","20","32420","27840"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Outside London","75","75","26040","24250"
"In post","2022","20-29","Animal and Plant Health Agency","London","25","25","30000","28310"
"In post","2022","20-29","Animal and Plant Health Agency","Outside London","505","500","25440","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","London","10","10","38260","31530"
"In post","2022","20-29","Cabinet Office (excl. agencies)","London","2400","2395","35910","32000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Outside London","685","680","30010","28000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","280","280","31440","29250"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","115","115","26110","25460"
"In post","2022","20-29","Charity Commission","London","15","15","33370","29160"
"In post","2022","20-29","Charity Commission","Outside London","60","55","24450","24440"
"In post","2022","20-29","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Outside London","160","160","25770","24500"
"In post","2022","20-29","Competition and Markets Authority","London","140","140","38380","33610"
"In post","2022","20-29","Competition and Markets Authority","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Outside London","35","35","24300","23040"
"In post","2022","20-29","Crown Commercial Service","London","15","15","41460","39320"
"In post","2022","20-29","Crown Commercial Service","Outside London","140","140","29790","30420"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Outside London","555","545","28200","27230"
"In post","2022","20-29","Crown Prosecution Service","London","285","285","28440","26970"
"In post","2022","20-29","Crown Prosecution Service","Outside London","755","750","27550","25480"
"In post","2022","20-29","Defence Electronics and Components Agency","Outside London","35","35","21570","20550"
"In post","2022","20-29","Defence Equipment and Support","London","10","10","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Outside London","1890","1875","27170","27540"
"In post","2022","20-29","Defence Equipment and Support","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Defence Science and Technology Laboratory","Outside London","1065","1060","29600","29230"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","1850","1845","41900","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","185","185","32480","30360"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","680","675","39180","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","90","90","35360","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","London","570","565","40610","40230"
"In post","2022","20-29","Department for Education (excl. agencies)","Outside London","820","815","32740","29360"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","London","910","905","36520","32680"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","550","540","31710","29180"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","London","955","955","38190","38160"
"In post","2022","20-29","Department for International Trade","Outside London","40","40","32850","28920"
"In post","2022","20-29","Department for International Trade","Overseas","30","30","42730","38540"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","London","745","740","39380","34550"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","220","220","33110","30190"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Transport (excl. agencies)","London","810","805","40350","35060"
"In post","2022","20-29","Department for Transport (excl. agencies)","Outside London","135","135","31150","30730"
"In post","2022","20-29","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","London","1775","1755","32410","31060"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Outside London","8865","8690","25800","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Unknown","85","85","28950","27570"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","London","970","965","39150","32790"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Outside London","260","260","33990","29410"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Unknown","15","15","33570","32790"
"In post","2022","20-29","Disclosure Scotland","Outside London","70","65","23720","21050"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","Outside London","790","755","22890","21840"
"In post","2022","20-29","Driver and Vehicle Standards Agency","London","10","10","31590","30300"
"In post","2022","20-29","Driver and Vehicle Standards Agency","Outside London","290","285","25950","26130"
"In post","2022","20-29","Education and Skills Funding Agency","London","40","40","39400","37280"
"In post","2022","20-29","Education and Skills Funding Agency","Outside London","295","295","32160","29360"
"In post","2022","20-29","Education Scotland","Outside London","15","15","27580","27230"
"In post","2022","20-29","Estyn","Outside London","5","5","[c]","[c]"
