"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Communications","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","AO","160","135","24580","25110"
"In post","2022","Asian","Counter Fraud","London","EO","120","110","30960","31060"
"In post","2022","Asian","Counter Fraud","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","G7","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","AO","70","60","22040","21260"
"In post","2022","Asian","Counter Fraud","Outside London","EO","185","175","27800","27570"
"In post","2022","Asian","Counter Fraud","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","HEO","30","30","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","EO","95","90","29800","29340"
"In post","2022","Asian","Digital, Data and Technology","London","G6","40","40","72370","72690"
"In post","2022","Asian","Digital, Data and Technology","London","G7","185","185","59700","58460"
"In post","2022","Asian","Digital, Data and Technology","London","HEO","145","140","35820","35200"
"In post","2022","Asian","Digital, Data and Technology","London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","SEO","180","180","43550","42320"
"In post","2022","Asian","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Outside London","AO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Outside London","EO","160","155","26870","26670"
"In post","2022","Asian","Digital, Data and Technology","Outside London","G6","35","35","69680","67910"
"In post","2022","Asian","Digital, Data and Technology","Outside London","G7","150","145","53990","53710"
"In post","2022","Asian","Digital, Data and Technology","Outside London","HEO","180","180","32670","32650"
"In post","2022","Asian","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Outside London","SEO","190","185","39790","40120"
"In post","2022","Asian","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Economics","London","EO","20","20","[c]","[c]"
"In post","2022","Asian","Economics","London","G6","20","20","[c]","[c]"
"In post","2022","Asian","Economics","London","G7","65","60","56950","55730"
"In post","2022","Asian","Economics","London","HEO","70","70","34880","34000"
"In post","2022","Asian","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","AO","20","20","[c]","[c]"
"In post","2022","Asian","Finance","London","EO","75","75","29470","29620"
"In post","2022","Asian","Finance","London","G6","30","30","70020","69810"
"In post","2022","Asian","Finance","London","G7","90","90","57870","57460"
"In post","2022","Asian","Finance","London","HEO","140","135","36020","35220"
"In post","2022","Asian","Finance","London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Finance","London","SEO","155","150","44090","43430"
"In post","2022","Asian","Finance","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","AO","30","25","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","EO","115","115","26160","26180"
"In post","2022","Asian","Finance","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","G7","60","60","53810","53460"
"In post","2022","Asian","Finance","Outside London","HEO","135","130","32390","31990"
"In post","2022","Asian","Finance","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","SEO","100","95","40150","40000"
"In post","2022","Asian","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","AO","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","London","EO","80","75","28950","28650"
"In post","2022","Asian","Human Resources","London","G6","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","London","G7","55","55","56680","57230"
"In post","2022","Asian","Human Resources","London","HEO","100","100","35590","35050"
"In post","2022","Asian","Human Resources","London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","London","SEO","55","55","42380","41970"
"In post","2022","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","AO","35","30","21620","21250"
"In post","2022","Asian","Human Resources","Outside London","EO","40","40","26470","26590"
"In post","2022","Asian","Human Resources","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","G7","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","HEO","70","70","32260","32010"
"In post","2022","Asian","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","SEO","35","35","40410","40180"
"In post","2022","Asian","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","AA","[c]","[c]","[c]","[c]"
