"Status","Year","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Heterosexual / straight","5480","5265","44550","39470"
"In post","2022","Analysis","LGBO","555","550","41130","37710"
"In post","2022","Analysis","Undeclared","665","635","45450","40650"
"In post","2022","Analysis","Unknown","1755","1690","40660","38020"
"In post","2022","Commercial","Heterosexual / straight","3860","3745","42760","38920"
"In post","2022","Commercial","LGBO","210","210","39980","36640"
"In post","2022","Commercial","Undeclared","550","530","42200","40320"
"In post","2022","Commercial","Unknown","1990","1950","58730","55300"
"In post","2022","Communications","Heterosexual / straight","5140","4955","36810","33120"
"In post","2022","Communications","LGBO","460","450","36280","33080"
"In post","2022","Communications","Undeclared","620","600","38550","33370"
"In post","2022","Communications","Unknown","2325","2260","33660","27570"
"In post","2022","Counter Fraud","Heterosexual / straight","10720","9940","32830","29530"
"In post","2022","Counter Fraud","LGBO","610","585","32530","29290"
"In post","2022","Counter Fraud","Undeclared","1560","1420","33310","30330"
"In post","2022","Counter Fraud","Unknown","4135","3805","31470","28920"
"In post","2022","Debt","Heterosexual / straight","4010","3535","23940","21260"
"In post","2022","Debt","LGBO","295","280","23620","21260"
"In post","2022","Debt","Undeclared","495","425","23790","21260"
"In post","2022","Debt","Unknown","2015","1805","23530","21260"
"In post","2022","Digital, Data & Technology","Heterosexual / straight","14780","14345","41560","38450"
"In post","2022","Digital, Data & Technology","LGBO","1010","990","40460","36840"
"In post","2022","Digital, Data & Technology","Undeclared","2325","2250","41000","38450"
"In post","2022","Digital, Data & Technology","Unknown","3945","3845","41370","37810"
"In post","2022","Finance","Heterosexual / straight","8545","8130","39990","36330"
"In post","2022","Finance","LGBO","415","410","39600","35310"
"In post","2022","Finance","Undeclared","1225","1155","39660","36060"
"In post","2022","Finance","Unknown","2190","2040","36590","33290"
"In post","2022","Grants Management","Heterosexual / straight","1035","940","26160","24920"
"In post","2022","Grants Management","LGBO","75","75","25490","24920"
"In post","2022","Grants Management","Undeclared","90","85","25050","23110"
"In post","2022","Grants Management","Unknown","1120","1040","24300","21300"
"In post","2022","Human Resources","Heterosexual / straight","8820","8345","38250","33370"
"In post","2022","Human Resources","LGBO","640","630","38820","33370"
"In post","2022","Human Resources","Undeclared","820","775","35550","31990"
"In post","2022","Human Resources","Unknown","1440","1360","35040","31660"
"In post","2022","Internal Audit","Heterosexual / straight","595","570","46230","43470"
"In post","2022","Internal Audit","LGBO","35","35","47220","43500"
"In post","2022","Internal Audit","Undeclared","90","85","46680","43160"
"In post","2022","Internal Audit","Unknown","45","40","43970","40660"
"In post","2022","Legal","Heterosexual / straight","8530","7995","46180","48080"
"In post","2022","Legal","LGBO","560","540","46510","48820"
"In post","2022","Legal","Undeclared","660","615","49150","51320"
"In post","2022","Legal","Unknown","2655","2415","48020","51830"
"In post","2022","No function","Heterosexual / straight","178535","165685","32260","27570"
"In post","2022","No function","LGBO","12750","12360","32820","27960"
