"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Heterosexual / straight","45","40","25310","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Undeclared","[c]","[c]","[c]","[c]"
