"Status","Year","Ethnicity","Parent_department","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","25","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Essex","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Greater Manchester","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Inner London - West","London","655","610","44910","50500"
