"Status","Year","Age","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","15","15","22880","21790"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","25","25","19200","19110"
"In post","2022","16-19","Cheshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","AA/AO","25","25","21600","21250"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","AA/AO","15","15","19270","19380"
"In post","2022","16-19","Devon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","Unknown","10","10","18010","18030"
"In post","2022","16-19","Dorset and Somerset","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","East Anglia","Outside London","AA/AO","25","25","22120","21680"
"In post","2022","16-19","East Anglia","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Wales","Outside London","AA/AO","45","45","20040","20890"
"In post","2022","16-19","East Wales","Outside London","EO","10","10","25260","23880"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","10","10","[c]","[c]"
