"Status","Year","Profession_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Barnet","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","150","145","24170","24000"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","210","200","58410","55000"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","20","15","105120","103620"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","680","655","35730","35040"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","130","125","40540","37500"
"In post","2022","Commercial","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","SEO/HEO","10","10","38730","38940"
"In post","2022","Commercial","Bexley and Greenwich","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","EO","15","15","26720","25520"
"In post","2022","Commercial","Birmingham","Outside London","G6/G7","10","10","55820","53380"
"In post","2022","Commercial","Birmingham","Outside London","SEO/HEO","45","45","36220","35900"
"In post","2022","Commercial","Birmingham","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","EO","10","10","27570","27570"
"In post","2022","Commercial","Blackpool","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","SEO/HEO","20","20","33830","32250"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","G6/G7","10","10","58080","54940"
"In post","2022","Commercial","Bristol, City of","Outside London","SEO/HEO","55","50","36630","36780"
"In post","2022","Commercial","Bristol, City of","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Outside London","EO","10","10","26700","25970"
"In post","2022","Commercial","Buckinghamshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Outside London","SEO/HEO","45","45","39540","42000"
"In post","2022","Commercial","Calderdale and Kirklees","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","EO","10","10","26520","26670"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","SEO/HEO","35","35","37710","34800"
"In post","2022","Commercial","Camden and City of London","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","G6/G7","15","15","59000","56150"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","SEO/HEO","25","20","35830","34290"
"In post","2022","Commercial","Central Bedfordshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","EO","40","40","25990","26350"
"In post","2022","Commercial","Central Hampshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","SEO/HEO","95","90","37770","38070"
"In post","2022","Commercial","Central Valleys","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","Outside London","G6/G7","[c]","[c]","[c]","[c]"
