"Status","Year","Age","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Economics","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Operational Delivery","5","5","[c]","[c]"
