"Status","Year","Ethnicity","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department of Health and Social Care (excl. agencies)","London","30","30","48030","53360"
"In post","2022","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Government Actuary's Department","London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Revenue and Customs (excl. agencies)","London","55","50","48670","43810"
"In post","2022","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","35","30","38960","33400"
"In post","2022","Asian","Analysis","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice (excl. agencies)","London","50","45","45840","42010"
"In post","2022","Asian","Analysis","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Budget Responsibility","London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Export Finance","London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Statistics Authority","London","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","UK Statistics Authority","Outside London","65","65","35520","35030"
"In post","2022","Asian","Analysis","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office (excl. agencies)","London","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Crown Commercial Service","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Equipment and Support","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport (excl. agencies)","London","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care (excl. agencies)","London","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Export Finance","London","35","35","51390","44080"
"In post","2022","Asian","Commercial","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Health Security Agency","London","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office (excl. agencies)","London","20","20","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for International Trade","London","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Work and Pensions (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department of Health and Social Care (excl. agencies)","London","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Revenue and Customs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","Asian","Communications","HM Revenue and Customs (excl. agencies)","Outside London","535","525","28960","26820"
"In post","2022","Asian","Communications","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Medicines and Healthcare Products Regulatory Agency","London","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Defence (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Justice (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
