"Status","Year","Age","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
