"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","London","AA","Heterosexual / straight","215","190","22620","22460"
"In post","2022","Asian","London","AA","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","London","AA","Undeclared","30","25","22470","22460"
"In post","2022","Asian","London","AA","Unknown","20","15","[c]","[c]"
"In post","2022","Asian","London","AO","Heterosexual / straight","1605","1445","25550","25110"
"In post","2022","Asian","London","AO","LGBO","50","45","25970","25330"
"In post","2022","Asian","London","AO","Undeclared","180","155","25150","25330"
"In post","2022","Asian","London","AO","Unknown","245","200","25160","25110"
"In post","2022","Asian","London","EO","Heterosexual / straight","3825","3595","29910","30330"
"In post","2022","Asian","London","EO","LGBO","80","75","29940","30600"
"In post","2022","Asian","London","EO","Undeclared","295","260","29970","30330"
"In post","2022","Asian","London","EO","Unknown","385","345","30710","31060"
"In post","2022","Asian","London","G6","Heterosexual / straight","510","495","69500","67700"
"In post","2022","Asian","London","G6","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","London","G6","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","London","G6","Unknown","50","50","71170","67970"
"In post","2022","Asian","London","G7","Heterosexual / straight","1655","1620","56890","55840"
"In post","2022","Asian","London","G7","LGBO","65","65","55710","54110"
"In post","2022","Asian","London","G7","Undeclared","100","100","56960","56130"
"In post","2022","Asian","London","G7","Unknown","125","115","57680","57800"
"In post","2022","Asian","London","HEO","Heterosexual / straight","2505","2445","35710","35080"
"In post","2022","Asian","London","HEO","LGBO","65","65","35540","35050"
"In post","2022","Asian","London","HEO","Undeclared","155","150","35960","35200"
"In post","2022","Asian","London","HEO","Unknown","210","205","37050","37610"
"In post","2022","Asian","London","SCS level","Heterosexual / straight","185","185","90180","81800"
"In post","2022","Asian","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","London","SCS level","Unknown","30","30","[c]","[c]"
"In post","2022","Asian","London","SEO","Heterosexual / straight","1680","1650","42820","41970"
"In post","2022","Asian","London","SEO","LGBO","45","45","42560","41740"
"In post","2022","Asian","London","SEO","Undeclared","110","110","42820","41970"
"In post","2022","Asian","London","SEO","Unknown","120","115","44130","43430"
"In post","2022","Asian","London","Unknown","Heterosexual / straight","175","170","32760","32090"
"In post","2022","Asian","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","AA","Heterosexual / straight","320","290","20080","19810"
"In post","2022","Asian","Outside London","AA","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Outside London","AA","Undeclared","35","30","19620","19200"
"In post","2022","Asian","Outside London","AA","Unknown","40","30","20730","20910"
"In post","2022","Asian","Outside London","AO","Heterosexual / straight","4535","4055","21820","21260"
"In post","2022","Asian","Outside London","AO","LGBO","115","100","22040","21250"
"In post","2022","Asian","Outside London","AO","Undeclared","355","305","21710","21260"
"In post","2022","Asian","Outside London","AO","Unknown","700","570","21640","21260"
"In post","2022","Asian","Outside London","EO","Heterosexual / straight","5065","4810","27080","27570"
"In post","2022","Asian","Outside London","EO","LGBO","120","115","27050","27570"
"In post","2022","Asian","Outside London","EO","Undeclared","285","260","27110","27570"
"In post","2022","Asian","Outside London","EO","Unknown","655","580","27310","27570"
"In post","2022","Asian","Outside London","G6","Heterosexual / straight","195","190","68460","67260"
"In post","2022","Asian","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","G6","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Outside London","G6","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Outside London","G7","Heterosexual / straight","835","815","53880","53050"
"In post","2022","Asian","Outside London","G7","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Outside London","G7","Undeclared","35","35","53180","53350"
"In post","2022","Asian","Outside London","G7","Unknown","115","110","54890","54200"
