"Status","Year","Disability","Ethnicity","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","90","85","29870","27570"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","120","105","24970","22200"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","Bedfordshire and Hertfordshire","75","70","32670","27570"
"In post","2022","Declared disabled","Asian","East of England","East Anglia","35","30","27410","27250"
"In post","2022","Declared disabled","Asian","East of England","Essex","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","London","Inner London - East","295","275","35530","31060"
"In post","2022","Declared disabled","Asian","London","Inner London - West","585","565","41550","37610"
"In post","2022","Declared disabled","Asian","London","Outer London - East and North East","100","90","30130","31060"
"In post","2022","Declared disabled","Asian","London","Outer London - South","170","155","34080","31060"
"In post","2022","Declared disabled","Asian","London","Outer London - West and North West","245","215","31730","30620"
"In post","2022","Declared disabled","Asian","North East (England)","Northumberland, and Tyne and Wear","35","30","28230","26820"
"In post","2022","Declared disabled","Asian","North East (England)","Tees Valley and Durham","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","Greater Manchester","165","155","28880","27570"
"In post","2022","Declared disabled","Asian","North West (England)","Lancashire","110","100","26580","25970"
"In post","2022","Declared disabled","Asian","North West (England)","Merseyside","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Eastern Scotland","30","30","31440","27230"
"In post","2022","Declared disabled","Asian","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","West Central Scotland","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","60","55","30230","28650"
"In post","2022","Declared disabled","Asian","South East (England)","Hampshire and Isle of Wight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","South East (England)","Kent","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","South East (England)","Surrey, East and West Sussex","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","60","55","32800","28000"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","East Wales","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Shropshire and Staffordshire","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","West Midlands (England)","West Midlands","435","405","28290","27570"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","South Yorkshire","35","35","27260","27570"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","West Yorkshire","195","180","28760","27570"
"In post","2022","Declared disabled","Black","East Midlands (England)","Derbyshire and Nottinghamshire","50","50","28440","27570"
"In post","2022","Declared disabled","Black","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","East of England","Bedfordshire and Hertfordshire","35","35","31890","29290"
"In post","2022","Declared disabled","Black","East of England","East Anglia","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","East of England","Essex","30","30","30150","29290"
"In post","2022","Declared disabled","Black","London","Inner London - East","345","325","32950","31060"
"In post","2022","Declared disabled","Black","London","Inner London - West","570","550","36920","33570"
"In post","2022","Declared disabled","Black","London","Outer London - East and North East","110","100","31870","31060"
"In post","2022","Declared disabled","Black","London","Outer London - South","215","205","33990","31060"
"In post","2022","Declared disabled","Black","London","Outer London - West and North West","110","105","31490","31060"
"In post","2022","Declared disabled","Black","North East (England)","Northumberland, and Tyne and Wear","15","10","[c]","[c]"
"In post","2022","Declared disabled","Black","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Greater Manchester","60","55","30830","27570"
"In post","2022","Declared disabled","Black","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","West Central Scotland","10","5","[c]","[c]"
"In post","2022","Declared disabled","Black","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","35","30","30310","26310"
"In post","2022","Declared disabled","Black","South East (England)","Hampshire and Isle of Wight","15","10","[c]","[c]"
"In post","2022","Declared disabled","Black","South East (England)","Kent","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","South East (England)","Surrey, East and West Sussex","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","45","45","31450","28000"
"In post","2022","Declared disabled","Black","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Wales","East Wales","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","West Midlands (England)","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","West Midlands (England)","West Midlands","175","155","28850","27570"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","South Yorkshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","West Yorkshire","40","40","28290","26380"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","Derbyshire and Nottinghamshire","45","45","27950","26820"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","30","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","Lincolnshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","East of England","Bedfordshire and Hertfordshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","East of England","East Anglia","30","30","28270","27410"
"In post","2022","Declared disabled","Mixed","East of England","Essex","20","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","London","Inner London - East","95","90","36510","31880"
"In post","2022","Declared disabled","Mixed","London","Inner London - West","275","265","43750","40050"
"In post","2022","Declared disabled","Mixed","London","Outer London - East and North East","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","London","Outer London - South","60","60","36060","31060"
"In post","2022","Declared disabled","Mixed","London","Outer London - West and North West","40","40","31650","31060"
"In post","2022","Declared disabled","Mixed","North East (England)","Northumberland, and Tyne and Wear","30","30","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North East (England)","Tees Valley and Durham","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North West (England)","Greater Manchester","65","65","30870","27570"
"In post","2022","Declared disabled","Mixed","North West (England)","Lancashire","30","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North West (England)","Merseyside","65","60","27830","26820"
"In post","2022","Declared disabled","Mixed","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","Eastern Scotland","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","West Central Scotland","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","35","35","32910","31230"
"In post","2022","Declared disabled","Mixed","South East (England)","Hampshire and Isle of Wight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South East (England)","Kent","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South East (England)","Surrey, East and West Sussex","40","40","31930","28290"
"In post","2022","Declared disabled","Mixed","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South West (England)","Devon","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South West (England)","Dorset and Somerset","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","60","55","34250","31000"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Wales","East Wales","55","50","30090","27570"
"In post","2022","Declared disabled","Mixed","Wales","West Wales and The Valleys","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","Shropshire and Staffordshire","25","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","West Midlands","65","60","27720","27370"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","North Yorkshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","South Yorkshire","30","30","31010","27570"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","West Yorkshire","50","45","30740","27570"
"In post","2022","Declared disabled","Other ethnicity","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East of England","East Anglia","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East of England","Essex","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","Inner London - East","40","40","36080","31310"
"In post","2022","Declared disabled","Other ethnicity","London","Inner London - West","95","90","43420","38020"
"In post","2022","Declared disabled","Other ethnicity","London","Outer London - East and North East","15","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","Outer London - South","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North East (England)","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North West (England)","Greater Manchester","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scotland","Eastern Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South East (England)","Kent","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Wales","East Wales","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","West Midlands (England)","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","West Midlands (England)","West Midlands","20","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Yorkshire and The Humber","South Yorkshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Yorkshire and The Humber","West Yorkshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","East Midlands (England)","Derbyshire and Nottinghamshire","65","55","29320","27570"
"In post","2022","Declared disabled","Undeclared","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","35","30","27060","26420"
"In post","2022","Declared disabled","Undeclared","East Midlands (England)","Lincolnshire","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","East of England","Bedfordshire and Hertfordshire","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","East of England","East Anglia","55","50","30880","28920"
"In post","2022","Declared disabled","Undeclared","East of England","Essex","30","30","29010","29100"
"In post","2022","Declared disabled","Undeclared","London","Inner London - East","110","100","36520","31090"
"In post","2022","Declared disabled","Undeclared","London","Inner London - West","155","150","46510","41750"
"In post","2022","Declared disabled","Undeclared","London","Outer London - East and North East","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","London","Outer London - South","65","60","34510","31740"
"In post","2022","Declared disabled","Undeclared","London","Outer London - West and North West","55","50","33670","31060"
"In post","2022","Declared disabled","Undeclared","North East (England)","Northumberland, and Tyne and Wear","85","75","30280","27570"
"In post","2022","Declared disabled","Undeclared","North East (England)","Tees Valley and Durham","30","30","29730","27570"
"In post","2022","Declared disabled","Undeclared","North West (England)","Cheshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","North West (England)","Cumbria","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","North West (England)","Greater Manchester","95","85","29330","27570"
"In post","2022","Declared disabled","Undeclared","North West (England)","Lancashire","70","60","28580","27570"
"In post","2022","Declared disabled","Undeclared","North West (England)","Merseyside","85","70","28320","27570"
"In post","2022","Declared disabled","Undeclared","Northern Ireland","Northern Ireland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","Overseas","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scotland","Eastern Scotland","60","55","35870","35000"
"In post","2022","Declared disabled","Undeclared","Scotland","Highlands and Islands","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scotland","Southern Scotland","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scotland","West Central Scotland","50","45","28800","27230"
"In post","2022","Declared disabled","Undeclared","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","50","45","31990","29290"
"In post","2022","Declared disabled","Undeclared","South East (England)","Hampshire and Isle of Wight","70","60","31430","29950"
"In post","2022","Declared disabled","Undeclared","South East (England)","Kent","55","55","30900","27900"
"In post","2022","Declared disabled","Undeclared","South East (England)","Surrey, East and West Sussex","45","40","29250","27570"
