"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Angus and Dundee City","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Female","10","5","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Bedford","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedford","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","EO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Birmingham","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Blackpool","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Blackpool","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","EO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","EO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","SEO/HEO","Female","40","40","36590","37780"
"In post","2022","Analysis","Bristol, City of","SEO/HEO","Male","35","35","35920","33430"
"In post","2022","Analysis","Buckinghamshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","EO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","EO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","G6/G7","Female","45","40","82460","78140"
"In post","2022","Analysis","Camden and City of London","G6/G7","Male","90","85","86510","81650"
"In post","2022","Analysis","Camden and City of London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","SEO/HEO","Male","45","40","40060","38800"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","G6/G7","Female","35","30","48760","47010"
"In post","2022","Analysis","Central Hampshire","G6/G7","Male","135","130","51190","47060"
"In post","2022","Analysis","Central Hampshire","SEO/HEO","Female","65","65","34270","38070"
"In post","2022","Analysis","Central Hampshire","SEO/HEO","Male","150","145","35280","38070"
"In post","2022","Analysis","Central Valleys","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","EO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Clackmannanshire and Fife","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Clackmannanshire and Fife","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","SEO/HEO","Male","[c]","[c]","[c]","[c]"
