"Status","Year","Age","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Economics","East Wales","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","Inner London - West","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Inner London - West","10","10","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","West Yorkshire","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Other","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","West Yorkshire","[c]","[c]","[c]","[c]"
