"Status","Year","Disability","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","100","90","42550","38770"
"In post","2022","Declared disabled","Asian","Cabinet Office","75","70","44930","40600"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","85","80","40900","36740"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","60","60","37950","36500"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","60","55","35580","32560"
"In post","2022","Declared disabled","Asian","Department for International Trade","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","50","50","40280","36060"
"In post","2022","Declared disabled","Asian","Department for Transport","40","35","38410","35520"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","1055","940","27930","27570"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","50","50","35090","32330"
"In post","2022","Declared disabled","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","40","40","37500","34810"
"In post","2022","Declared disabled","Asian","HM Land Registry","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","415","385","33600","33080"
"In post","2022","Declared disabled","Asian","HM Treasury","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","375","340","32610","29080"
"In post","2022","Declared disabled","Asian","Ministry of Defence","95","90","36340","33000"
"In post","2022","Declared disabled","Asian","Ministry of Justice","475","440","30420","27380"
"In post","2022","Declared disabled","Asian","National Crime Agency","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Government","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Attorney General's Departments","75","70","41680","36120"
"In post","2022","Declared disabled","Black","Cabinet Office","35","35","43440","38580"
"In post","2022","Declared disabled","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","70","70","41780","40050"
"In post","2022","Declared disabled","Black","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Education","25","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Environment, Food and Rural Affairs","30","30","36020","30030"
"In post","2022","Declared disabled","Black","Department for International Trade","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","630","580","29490","30330"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","35","30","38690","35080"
"In post","2022","Declared disabled","Black","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Foreign, Commonwealth and Development Office","35","35","35400","33860"
"In post","2022","Declared disabled","Black","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Revenue and Customs","175","170","33900","33080"
"In post","2022","Declared disabled","Black","HM Treasury","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Home Office","180","170","32130","29080"
"In post","2022","Declared disabled","Black","Ministry of Defence","75","70","32380","30620"
"In post","2022","Declared disabled","Black","Ministry of Justice","565","540","31890","28690"
"In post","2022","Declared disabled","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Government","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Attorney General's Departments","35","30","52190","55610"
"In post","2022","Declared disabled","Mixed","Cabinet Office","50","45","44250","40600"
"In post","2022","Declared disabled","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy","50","50","37940","37220"
"In post","2022","Declared disabled","Mixed","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Education","30","30","41930","37880"
"In post","2022","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs","40","35","35350","32560"
"In post","2022","Declared disabled","Mixed","Department for International Trade","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Levelling Up, Housing and Communities","20","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Transport","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Work and Pensions","370","340","28220","27570"
"In post","2022","Declared disabled","Mixed","Department of Health and Social Care","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Foreign, Commonwealth and Development Office","40","40","41500","38600"
"In post","2022","Declared disabled","Mixed","HM Land Registry","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Revenue and Customs","125","115","31370","28570"
"In post","2022","Declared disabled","Mixed","HM Treasury","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Home Office","85","80","33090","28500"
"In post","2022","Declared disabled","Mixed","Ministry of Defence","70","65","39300","34530"
"In post","2022","Declared disabled","Mixed","Ministry of Justice","350","335","31940","30210"
"In post","2022","Declared disabled","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scottish Government","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","UK Statistics Authority","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Welsh Government","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for Education","15","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Department for Work and Pensions","110","105","29450","27570"
"In post","2022","Declared disabled","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
