"Status","Year","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Female","1090","955","27990","26590"
"In post","2022","Asian","East Midlands (England)","Male","855","820","28890","27130"
"In post","2022","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Female","695","620","30500","27570"
"In post","2022","Asian","East of England","Male","480","460","32730","28140"
"In post","2022","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Female","8820","8175","37630","32960"
"In post","2022","Asian","London","Male","5980","5860","39110","34260"
"In post","2022","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Female","300","270","28300","26590"
"In post","2022","Asian","North East (England)","Male","290","275","31230","27570"
"In post","2022","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North West (England)","Female","1440","1270","28100","26590"
"In post","2022","Asian","North West (England)","Male","1795","1740","29660","27570"
"In post","2022","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Female","70","70","43670","34770"
"In post","2022","Asian","Overseas","Male","95","95","46280","40490"
"In post","2022","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scotland","Female","395","360","30350","27230"
"In post","2022","Asian","Scotland","Male","335","330","34970","28950"
"In post","2022","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South East (England)","Female","880","785","29920","28350"
"In post","2022","Asian","South East (England)","Male","660","635","31730","28660"
"In post","2022","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South West (England)","Female","440","405","33560","28900"
"In post","2022","Asian","South West (England)","Male","460","450","36160","33300"
"In post","2022","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Female","120","100","29000","27780"
"In post","2022","Asian","Unknown","Male","50","50","31200","31060"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wales","Female","290","270","31090","27570"
"In post","2022","Asian","Wales","Male","300","295","31410","26820"
"In post","2022","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Midlands (England)","Female","2720","2465","28310","26820"
"In post","2022","Asian","West Midlands (England)","Male","2145","2090","29540","27570"
"In post","2022","Asian","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Yorkshire and The Humber","Female","1435","1270","28210","26820"
"In post","2022","Asian","Yorkshire and The Humber","Male","1495","1445","29770","27570"
"In post","2022","Asian","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","East Midlands (England)","Female","380","350","27800","26590"
"In post","2022","Black","East Midlands (England)","Male","230","225","29310","27380"
"In post","2022","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","East of England","Female","410","385","30500","29290"
"In post","2022","Black","East of England","Male","230","225","31850","29290"
"In post","2022","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","Female","7070","6770","34930","31060"
"In post","2022","Black","London","Male","3425","3370","36110","32350"
"In post","2022","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","Female","85","75","26710","21300"
"In post","2022","Black","North East (England)","Male","85","80","30970","27570"
"In post","2022","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","North West (England)","Female","510","480","28910","26820"
"In post","2022","Black","North West (England)","Male","430","420","30630","27570"
"In post","2022","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Female","35","35","45300","40210"
"In post","2022","Black","Overseas","Male","40","40","43060","38570"
"In post","2022","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scotland","Female","170","160","29070","27230"
"In post","2022","Black","Scotland","Male","140","140","34250","27570"
"In post","2022","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","South East (England)","Female","515","485","30280","28480"
"In post","2022","Black","South East (England)","Male","405","390","31540","29290"
"In post","2022","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","South West (England)","Female","285","265","32030","28700"
"In post","2022","Black","South West (England)","Male","295","290","33680","33080"
"In post","2022","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Female","40","35","32840","31060"
"In post","2022","Black","Unknown","Male","20","20","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Wales","Female","125","115","29590","27570"
"In post","2022","Black","Wales","Male","110","110","31630","27570"
"In post","2022","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","West Midlands (England)","Female","950","880","28520","27570"
"In post","2022","Black","West Midlands (England)","Male","475","465","30260","27570"
"In post","2022","Black","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Yorkshire and The Humber","Female","350","330","29450","27570"
"In post","2022","Black","Yorkshire and The Humber","Male","270","265","30030","27380"
"In post","2022","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","East Midlands (England)","Female","250","230","28890","26820"
"In post","2022","Mixed","East Midlands (England)","Male","165","165","31580","27350"
"In post","2022","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","East of England","Female","255","235","30350","28170"
"In post","2022","Mixed","East of England","Male","190","185","33060","29290"
"In post","2022","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","London","Female","2160","2065","40810","35490"
"In post","2022","Mixed","London","Male","1435","1415","43050","37930"
"In post","2022","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","North East (England)","Female","145","130","29570","27570"
"In post","2022","Mixed","North East (England)","Male","120","115","29920","27570"
"In post","2022","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","North West (England)","Female","535","500","29270","26820"
"In post","2022","Mixed","North West (England)","Male","355","340","31690","27570"
"In post","2022","Mixed","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","Male","10","10","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","Female","60","60","46050","40170"
"In post","2022","Mixed","Overseas","Male","60","60","53560","52410"
"In post","2022","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scotland","Female","175","165","35440","30040"
"In post","2022","Mixed","Scotland","Male","140","140","36060","30860"
"In post","2022","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","South East (England)","Female","405","380","30530","27570"
"In post","2022","Mixed","South East (England)","Male","355","345","33580","30450"
"In post","2022","Mixed","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","South West (England)","Female","350","320","32630","29230"
"In post","2022","Mixed","South West (England)","Male","320","310","35010","32080"
"In post","2022","Mixed","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Female","20","20","[c]","[c]"
"In post","2022","Mixed","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Wales","Female","260","240","30820","27570"
"In post","2022","Mixed","Wales","Male","175","165","33010","29430"
"In post","2022","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","West Midlands (England)","Female","430","395","29410","27570"
"In post","2022","Mixed","West Midlands (England)","Male","220","215","30580","27570"
"In post","2022","Mixed","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Yorkshire and The Humber","Female","330","305","31370","27570"
"In post","2022","Mixed","Yorkshire and The Humber","Male","235","225","32400","27570"
"In post","2022","Mixed","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","East Midlands (England)","Female","40","35","31920","27570"
"In post","2022","Other ethnicity","East Midlands (England)","Male","35","35","30810","27570"
"In post","2022","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","East of England","Female","70","60","30370","28560"
"In post","2022","Other ethnicity","East of England","Male","55","50","36480","31650"
"In post","2022","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","London","Female","760","720","39510","34100"
"In post","2022","Other ethnicity","London","Male","545","535","42540","36650"
"In post","2022","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","North East (England)","Female","25","25","[c]","[c]"
"In post","2022","Other ethnicity","North East (England)","Male","30","25","34400","27080"
"In post","2022","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","North West (England)","Female","90","80","30440","27570"
"In post","2022","Other ethnicity","North West (England)","Male","95","90","33150","27570"
"In post","2022","Other ethnicity","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland","Male","[c]","[c]","[c]","[c]"
