"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA/AO","Heterosexual / straight","185","180","26050","28140"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA/AO","Undeclared","25","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA/AO","Unknown","65","60","26420","28140"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","Heterosexual / straight","195","180","27650","27570"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","Undeclared","30","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","Unknown","45","40","27120","27570"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","Heterosexual / straight","110","105","38190","36740"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Unknown","Heterosexual / straight","75","70","28720","26310"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Unknown","Unknown","20","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","Heterosexual / straight","95","90","20990","21170"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","Heterosexual / straight","105","105","27960","26930"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","Undeclared","15","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","Heterosexual / straight","115","110","37570","36300"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","AA/AO","Heterosexual / straight","460","435","25620","24250"
