"Status","Year","Region_ITL1","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Outside London","AA/AO","Heterosexual / straight","5285","4835","22560","21260"
"In post","2022","East Midlands (England)","Outside London","AA/AO","LGBO","320","310","23100","21260"
"In post","2022","East Midlands (England)","Outside London","AA/AO","Undeclared","640","575","22610","21260"
"In post","2022","East Midlands (England)","Outside London","AA/AO","Unknown","1715","1540","22600","21260"
"In post","2022","East Midlands (England)","Outside London","EO","Heterosexual / straight","4195","3885","27410","27570"
"In post","2022","East Midlands (England)","Outside London","EO","LGBO","280","270","27280","27570"
"In post","2022","East Midlands (England)","Outside London","EO","Undeclared","555","505","27570","27380"
"In post","2022","East Midlands (England)","Outside London","EO","Unknown","1260","1155","27240","27130"
"In post","2022","East Midlands (England)","Outside London","G6/G7","Heterosexual / straight","1275","1220","58090","55210"
"In post","2022","East Midlands (England)","Outside London","G6/G7","LGBO","65","60","58380","55210"
"In post","2022","East Midlands (England)","Outside London","G6/G7","Undeclared","145","140","58810","55210"
"In post","2022","East Midlands (England)","Outside London","G6/G7","Unknown","220","210","57740","55210"
"In post","2022","East Midlands (England)","Outside London","SCS level","Heterosexual / straight","75","75","88960","84560"
"In post","2022","East Midlands (England)","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Outside London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","Outside London","SEO/HEO","Heterosexual / straight","3780","3600","36620","34480"
"In post","2022","East Midlands (England)","Outside London","SEO/HEO","LGBO","215","210","35460","33370"
"In post","2022","East Midlands (England)","Outside London","SEO/HEO","Undeclared","545","520","37090","34940"
"In post","2022","East Midlands (England)","Outside London","SEO/HEO","Unknown","860","820","35470","33370"
"In post","2022","East Midlands (England)","Outside London","Unknown","Heterosexual / straight","1090","1000","29760","28200"
"In post","2022","East Midlands (England)","Outside London","Unknown","LGBO","70","70","28610","25480"
"In post","2022","East Midlands (England)","Outside London","Unknown","Undeclared","110","100","32020","31420"
"In post","2022","East Midlands (England)","Outside London","Unknown","Unknown","280","250","28300","26310"
"In post","2022","East of England","Outside London","AA/AO","Heterosexual / straight","5115","4725","23970","21860"
"In post","2022","East of England","Outside London","AA/AO","LGBO","285","275","24330","22330"
"In post","2022","East of England","Outside London","AA/AO","Undeclared","640","580","23850","21820"
"In post","2022","East of England","Outside London","AA/AO","Unknown","1380","1245","24110","22080"
"In post","2022","East of England","Outside London","EO","Heterosexual / straight","4920","4555","28330","27570"
"In post","2022","East of England","Outside London","EO","LGBO","265","255","28140","27570"
"In post","2022","East of England","Outside London","EO","Undeclared","660","605","28500","27570"
"In post","2022","East of England","Outside London","EO","Unknown","1115","1000","28290","27570"
"In post","2022","East of England","Outside London","G6/G7","Heterosexual / straight","1010","970","59490","56310"
"In post","2022","East of England","Outside London","G6/G7","LGBO","40","40","58610","55410"
"In post","2022","East of England","Outside London","G6/G7","Undeclared","130","120","57730","54950"
"In post","2022","East of England","Outside London","G6/G7","Unknown","295","280","59010","56370"
"In post","2022","East of England","Outside London","SCS level","Heterosexual / straight","100","95","95600","95140"
"In post","2022","East of England","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Outside London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","East of England","Outside London","SCS level","Unknown","25","20","[c]","[c]"
