"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","London","10","10","51300","53360"
"In post","2022","Analysis","Commercial","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","Outside London","15","15","38370","36530"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","20","20","38070","38550"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","Outside London","10","10","38550","37590"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","London","10","10","55810","56120"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","London","50","50","48900","45250"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","Outside London","25","20","43580","42210"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","Outside London","135","130","34270","30710"
"In post","2022","Analysis","Economics","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","Outside London","55","55","39750","33380"
"In post","2022","Analysis","Economics","Hampshire and Isle of Wight","Outside London","15","15","38740","30760"
"In post","2022","Analysis","Economics","Inner London - East","London","205","200","56470","55800"
"In post","2022","Analysis","Economics","Inner London - West","London","855","840","47330","41750"
"In post","2022","Analysis","Economics","Merseyside","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Northumberland, and Tyne and Wear","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - South","London","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Central Scotland","Outside London","10","10","48610","47000"
"In post","2022","Analysis","Economics","West Midlands","Outside London","15","15","50150","46390"
"In post","2022","Analysis","Economics","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Yorkshire","Outside London","25","25","40940","36820"
"In post","2022","Analysis","Finance","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - East","London","25","25","48180","45670"
"In post","2022","Analysis","Finance","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Outer London - South","London","15","15","50690","50590"
"In post","2022","Analysis","Finance","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Anglia","Outside London","10","10","26390","25510"
"In post","2022","Analysis","Geography","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","10","35850","33000"
"In post","2022","Analysis","Geography","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Shropshire and Staffordshire","Outside London","10","10","35850","33300"
"In post","2022","Analysis","Geography","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - West","London","25","25","47350","46050"
"In post","2022","Analysis","Human Resources","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","South Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","West Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Wales","Outside London","25","25","30020","30350"
"In post","2022","Analysis","Intelligence Analysis","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","Outside London","15","15","27300","26030"
"In post","2022","Analysis","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Inner London - East","London","35","35","53310","50230"
"In post","2022","Analysis","Intelligence Analysis","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Midlands","Outside London","5","5","[c]","[c]"
