"Status","Year","Parent_department","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","20","15","53170","52660"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","AO","25","25","23860","23770"
"In post","2022","Attorney General's Departments","Berkshire","EO","25","25","28230","27050"
"In post","2022","Attorney General's Departments","Berkshire","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","G7","50","45","58450","55880"
"In post","2022","Attorney General's Departments","Berkshire","HEO","20","20","35910","35020"
"In post","2022","Attorney General's Departments","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","AO","100","90","22280","22200"
"In post","2022","Attorney General's Departments","Birmingham","EO","100","95","26950","26160"
"In post","2022","Attorney General's Departments","Birmingham","G6","20","20","73520","70000"
"In post","2022","Attorney General's Departments","Birmingham","G7","215","200","53300","53350"
"In post","2022","Attorney General's Departments","Birmingham","HEO","55","50","33250","32050"
"In post","2022","Attorney General's Departments","Birmingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","SEO","15","10","38330","38180"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","AO","30","25","23700","23770"
"In post","2022","Attorney General's Departments","Brighton and Hove","EO","35","30","28180","27760"
"In post","2022","Attorney General's Departments","Brighton and Hove","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","G7","45","40","58650","60710"
"In post","2022","Attorney General's Departments","Brighton and Hove","HEO","10","10","35770","36240"
"In post","2022","Attorney General's Departments","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","AO","30","30","22080","22200"
"In post","2022","Attorney General's Departments","Bristol, City of","EO","30","30","26760","26160"
"In post","2022","Attorney General's Departments","Bristol, City of","G6","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","G7","75","70","53110","51940"
"In post","2022","Attorney General's Departments","Bristol, City of","HEO","20","20","34130","33310"
"In post","2022","Attorney General's Departments","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","AO","50","45","21930","22200"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","EO","45","40","27100","27070"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","G7","95","90","53670","54200"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","HEO","20","20","34360","32910"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","SEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Central Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","AO","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","G7","15","10","53230","54480"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","AO","10","10","24360","24590"
"In post","2022","Attorney General's Departments","Croydon","EO","15","10","27680","27350"
"In post","2022","Attorney General's Departments","Croydon","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","HEO","15","15","32460","31640"
"In post","2022","Attorney General's Departments","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","SEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","AO","15","15","22190","22200"
"In post","2022","Attorney General's Departments","Devon CC","EO","25","25","26710","26090"
"In post","2022","Attorney General's Departments","Devon CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","G7","45","40","53710","55610"
"In post","2022","Attorney General's Departments","Devon CC","HEO","15","15","32810","32910"
"In post","2022","Attorney General's Departments","Devon CC","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","AO","10","10","22340","22200"
"In post","2022","Attorney General's Departments","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","G7","15","15","54110","54200"
"In post","2022","Attorney General's Departments","East Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","AO","35","35","23670","23770"
"In post","2022","Attorney General's Departments","East Kent","EO","30","30","28650","29170"
"In post","2022","Attorney General's Departments","East Kent","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","G7","45","40","57780","55660"
"In post","2022","Attorney General's Departments","East Kent","HEO","10","10","37360","36240"
"In post","2022","Attorney General's Departments","East Kent","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Lothian and Midlothian","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Surrey","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Haven Gateway","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Thames Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","AO","10","10","21900","22200"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","EO","15","15","26910","26160"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","G7","40","35","53320","55610"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","HEO","10","10","34810","34480"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Gloucestershire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gloucestershire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester North East","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester North West","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South East","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South West","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South West","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gwent Valleys","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hartlepool and Stockton-on-Tees","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hartlepool and Stockton-on-Tees","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","AO","40","35","23300","23770"
"In post","2022","Attorney General's Departments","Heart of Essex","EO","45","45","28680","29390"
"In post","2022","Attorney General's Departments","Heart of Essex","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","G7","75","70","57900","54890"
"In post","2022","Attorney General's Departments","Heart of Essex","HEO","25","25","37560","40000"
"In post","2022","Attorney General's Departments","Heart of Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Herefordshire, County of","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","AO","40","40","23460","23770"
"In post","2022","Attorney General's Departments","Hertfordshire CC","EO","35","30","28590","27760"
"In post","2022","Attorney General's Departments","Hertfordshire CC","G6","[c]","[c]","[c]","[c]"
