"Status","Year","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Project Delivery","AO","60","45","23630","23460"
"In post","2022","Asian","Project Delivery","EO","170","165","26900","27200"
"In post","2022","Asian","Project Delivery","G6","90","85","69320","68430"
"In post","2022","Asian","Project Delivery","G7","225","225","55880","55210"
"In post","2022","Asian","Project Delivery","HEO","355","345","34240","33560"
"In post","2022","Asian","Project Delivery","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","Project Delivery","SEO","285","280","41520","41040"
"In post","2022","Asian","Project Delivery","Unknown","40","40","38890","36260"
"In post","2022","Asian","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","AO","45","40","23720","22130"
"In post","2022","Asian","Property","EO","160","150","26330","26820"
"In post","2022","Asian","Property","G6","25","25","[c]","[c]"
"In post","2022","Asian","Property","G7","50","50","53990","54200"
"In post","2022","Asian","Property","HEO","110","105","34580","34260"
"In post","2022","Asian","Property","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Property","SEO","65","65","43300","43400"
"In post","2022","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","AA","70","70","20880","19810"
"In post","2022","Asian","Security","AO","60","55","30260","27440"
"In post","2022","Asian","Security","EO","45","45","28680","28700"
"In post","2022","Asian","Security","G6","5","5","[c]","[c]"
"In post","2022","Asian","Security","G7","25","25","[c]","[c]"
"In post","2022","Asian","Security","HEO","60","60","34270","34550"
"In post","2022","Asian","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","SEO","45","45","43760","44480"
"In post","2022","Asian","Security","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","AA","210","190","21200","22460"
"In post","2022","Asian","Unknown","AO","1165","1035","23710","24370"
"In post","2022","Asian","Unknown","EO","1975","1840","28020","28670"
"In post","2022","Asian","Unknown","G6","90","90","72580","68980"
"In post","2022","Asian","Unknown","G7","345","335","58720","57460"
"In post","2022","Asian","Unknown","HEO","960","925","34530","35070"
"In post","2022","Asian","Unknown","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","SEO","595","585","42680","41970"
"In post","2022","Asian","Unknown","Unknown","35","35","[c]","[c]"
"In post","2022","Black","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","AO","15","15","[c]","[c]"
"In post","2022","Black","Analysis","EO","35","35","28410","27850"
"In post","2022","Black","Analysis","G6","5","5","[c]","[c]"
"In post","2022","Black","Analysis","G7","40","40","54190","53830"
"In post","2022","Black","Analysis","HEO","75","75","33980","33650"
"In post","2022","Black","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","SEO","50","50","41420","41340"
"In post","2022","Black","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","AO","10","10","[c]","[c]"
"In post","2022","Black","Commercial","EO","25","25","[c]","[c]"
"In post","2022","Black","Commercial","G6","10","10","[c]","[c]"
"In post","2022","Black","Commercial","G7","20","20","[c]","[c]"
"In post","2022","Black","Commercial","HEO","40","40","33600","33820"
"In post","2022","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","SEO","55","55","41380","40600"
"In post","2022","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","AO","15","15","[c]","[c]"
"In post","2022","Black","Communications","EO","125","120","27400","26820"
"In post","2022","Black","Communications","G6","5","5","[c]","[c]"
"In post","2022","Black","Communications","G7","15","15","[c]","[c]"
"In post","2022","Black","Communications","HEO","70","70","34510","33370"
"In post","2022","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","SEO","15","15","[c]","[c]"
"In post","2022","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","AO","165","140","24040","25110"
"In post","2022","Black","Counter Fraud","EO","285","270","30160","31020"
"In post","2022","Black","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","G7","10","10","[c]","[c]"
"In post","2022","Black","Counter Fraud","HEO","125","125","36440","37610"
"In post","2022","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","SEO","30","30","42700","43430"
"In post","2022","Black","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","AO","165","150","22920","21260"
"In post","2022","Black","Debt","EO","35","30","30830","31020"
"In post","2022","Black","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","HEO","5","5","[c]","[c]"
"In post","2022","Black","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","SEO","5","5","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","AO","20","20","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","EO","130","125","28200","27840"
"In post","2022","Black","Digital, Data & Technology","G6","10","10","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","G7","125","125","55390","54700"
"In post","2022","Black","Digital, Data & Technology","HEO","185","185","33960","33370"
"In post","2022","Black","Digital, Data & Technology","SCS level","5","5","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","SEO","165","160","41010","40580"
"In post","2022","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","AO","35","35","23510","23120"
"In post","2022","Black","Finance","EO","85","80","28630","28920"
"In post","2022","Black","Finance","G6","10","10","[c]","[c]"
"In post","2022","Black","Finance","G7","70","70","56250","54760"
"In post","2022","Black","Finance","HEO","125","125","35080","35000"
"In post","2022","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","SEO","115","115","42430","42000"
"In post","2022","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","AO","10","10","[c]","[c]"
"In post","2022","Black","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","AO","30","30","23310","23570"
"In post","2022","Black","Human Resources","EO","110","105","28070","27570"
"In post","2022","Black","Human Resources","G6","5","5","[c]","[c]"
"In post","2022","Black","Human Resources","G7","45","40","54800","54700"
"In post","2022","Black","Human Resources","HEO","105","100","34320","34290"
"In post","2022","Black","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","SEO","80","75","41700","40900"
"In post","2022","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","AO","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","G7","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","HEO","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","SEO","15","15","[c]","[c]"
"In post","2022","Black","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","AO","125","115","23390","23770"
"In post","2022","Black","Legal","EO","155","150","28460","27760"
"In post","2022","Black","Legal","G6","30","30","71080","70260"
"In post","2022","Black","Legal","G7","205","200","56900","55400"
"In post","2022","Black","Legal","HEO","90","90","36140","35020"
"In post","2022","Black","Legal","SCS level","15","15","[c]","[c]"
"In post","2022","Black","Legal","SEO","20","20","[c]","[c]"
"In post","2022","Black","No function","AA","380","355","23070","21910"
"In post","2022","Black","No function","AO","2530","2375","25220","24210"
"In post","2022","Black","No function","EO","3685","3530","29600","30170"
"In post","2022","Black","No function","G6","85","85","68690","66250"
"In post","2022","Black","No function","G7","410","405","54850","53600"
"In post","2022","Black","No function","HEO","1240","1215","34910","34260"
"In post","2022","Black","No function","SCS level","55","55","91960","82510"
"In post","2022","Black","No function","SEO","670","655","42660","40910"
"In post","2022","Black","No function","Unknown","1170","1125","31510","28690"
"In post","2022","Black","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","AO","45","40","23420","23380"
"In post","2022","Black","Project Delivery","EO","100","100","27790","28270"
"In post","2022","Black","Project Delivery","G6","25","25","[c]","[c]"
"In post","2022","Black","Project Delivery","G7","125","120","56490","56110"
"In post","2022","Black","Project Delivery","HEO","205","205","33770","33570"
"In post","2022","Black","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","SEO","170","170","41230","41000"
"In post","2022","Black","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","AO","10","10","[c]","[c]"
"In post","2022","Black","Property","EO","60","60","27580","28500"
"In post","2022","Black","Property","G6","10","10","[c]","[c]"
"In post","2022","Black","Property","G7","25","25","[c]","[c]"
"In post","2022","Black","Property","HEO","50","50","34370","34260"
"In post","2022","Black","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","SEO","45","45","43140","41750"
"In post","2022","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","AA","40","40","21810","22900"
"In post","2022","Black","Security","AO","20","20","[c]","[c]"
"In post","2022","Black","Security","EO","25","25","[c]","[c]"
"In post","2022","Black","Security","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","G7","5","5","[c]","[c]"
"In post","2022","Black","Security","HEO","25","25","[c]","[c]"
"In post","2022","Black","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","SEO","15","15","[c]","[c]"
"In post","2022","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA","85","75","21490","22460"
"In post","2022","Black","Unknown","AO","430","385","24280","25630"
"In post","2022","Black","Unknown","EO","815","770","28590","28810"
"In post","2022","Black","Unknown","G6","40","40","70700","68720"
"In post","2022","Black","Unknown","G7","145","145","58010","57460"
"In post","2022","Black","Unknown","HEO","410","400","35060","35070"
"In post","2022","Black","Unknown","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Unknown","SEO","285","285","42820","41970"
"In post","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Analysis","AO","10","10","[c]","[c]"
"In post","2022","Mixed","Analysis","EO","20","20","[c]","[c]"
"In post","2022","Mixed","Analysis","G6","15","15","[c]","[c]"
"In post","2022","Mixed","Analysis","G7","55","55","54620","53660"
"In post","2022","Mixed","Analysis","HEO","75","70","34080","33670"
"In post","2022","Mixed","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Analysis","SEO","40","35","41090","40450"
"In post","2022","Mixed","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","AO","5","5","[c]","[c]"
"In post","2022","Mixed","Commercial","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","G7","15","15","[c]","[c]"
"In post","2022","Mixed","Commercial","HEO","20","20","[c]","[c]"
"In post","2022","Mixed","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","SEO","30","30","40240","40650"
"In post","2022","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","AO","10","10","[c]","[c]"
"In post","2022","Mixed","Communications","EO","60","55","27280","26820"
"In post","2022","Mixed","Communications","G6","10","10","[c]","[c]"
"In post","2022","Mixed","Communications","G7","25","20","[c]","[c]"
"In post","2022","Mixed","Communications","HEO","55","55","33860","33370"
"In post","2022","Mixed","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","SEO","35","35","41580","40560"
"In post","2022","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","AO","45","40","23490","23460"
"In post","2022","Mixed","Counter Fraud","EO","115","110","28710","27570"
"In post","2022","Mixed","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","G7","25","20","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","HEO","45","45","34480","33370"
"In post","2022","Mixed","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","SEO","25","25","[c]","[c]"
"In post","2022","Mixed","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","AO","70","60","21730","21260"
"In post","2022","Mixed","Debt","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","AO","15","15","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","EO","55","55","27620","26820"
"In post","2022","Mixed","Digital, Data & Technology","G6","20","20","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","G7","95","90","54580","54700"
"In post","2022","Mixed","Digital, Data & Technology","HEO","90","85","33110","33080"
"In post","2022","Mixed","Digital, Data & Technology","SCS level","5","5","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","SEO","70","70","41480","40600"
"In post","2022","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","AO","15","15","[c]","[c]"
"In post","2022","Mixed","Finance","EO","30","30","26660","26620"
"In post","2022","Mixed","Finance","G6","15","15","[c]","[c]"
"In post","2022","Mixed","Finance","G7","40","40","54100","53430"
"In post","2022","Mixed","Finance","HEO","55","50","33550","33370"
"In post","2022","Mixed","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","SEO","45","45","41830","40580"
"In post","2022","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","AO","15","10","[c]","[c]"
"In post","2022","Mixed","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","AO","20","15","[c]","[c]"
"In post","2022","Mixed","Human Resources","EO","55","55","27730","27530"
"In post","2022","Mixed","Human Resources","G6","20","20","[c]","[c]"
"In post","2022","Mixed","Human Resources","G7","40","40","54160","54650"
"In post","2022","Mixed","Human Resources","HEO","70","70","34170","34260"
"In post","2022","Mixed","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2022","Mixed","Human Resources","SEO","35","35","40800","40590"
"In post","2022","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","SEO","5","5","[c]","[c]"
"In post","2022","Mixed","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Legal","AO","35","30","22890","23720"
"In post","2022","Mixed","Legal","EO","50","45","28060","27050"
"In post","2022","Mixed","Legal","G6","35","35","70910","70890"
"In post","2022","Mixed","Legal","G7","135","125","55590","53200"
"In post","2022","Mixed","Legal","HEO","40","40","36010","33630"
"In post","2022","Mixed","Legal","SCS level","15","15","[c]","[c]"
"In post","2022","Mixed","Legal","SEO","10","10","[c]","[c]"
"In post","2022","Mixed","No function","AA","125","115","21420","20890"
"In post","2022","Mixed","No function","AO","1340","1245","24010","21840"
"In post","2022","Mixed","No function","EO","1480","1400","28630","27570"
"In post","2022","Mixed","No function","G6","155","150","67900","66000"
"In post","2022","Mixed","No function","G7","430","420","54640","53620"
"In post","2022","Mixed","No function","HEO","795","775","34210","33570"
"In post","2022","Mixed","No function","SCS level","75","75","85020","78000"
"In post","2022","Mixed","No function","SEO","420","410","42380","40650"
"In post","2022","Mixed","No function","Unknown","530","505","30720","28300"
"In post","2022","Mixed","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","AO","20","15","[c]","[c]"
"In post","2022","Mixed","Project Delivery","EO","50","50","25710","26820"
"In post","2022","Mixed","Project Delivery","G6","40","40","66560","65740"
"In post","2022","Mixed","Project Delivery","G7","85","85","55390","55200"
"In post","2022","Mixed","Project Delivery","HEO","125","120","32870","33330"
"In post","2022","Mixed","Project Delivery","SCS level","10","10","[c]","[c]"
"In post","2022","Mixed","Project Delivery","SEO","100","100","40940","40520"
"In post","2022","Mixed","Project Delivery","Unknown","15","15","[c]","[c]"
"In post","2022","Mixed","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","AO","10","10","[c]","[c]"
"In post","2022","Mixed","Property","EO","25","20","[c]","[c]"
"In post","2022","Mixed","Property","G6","5","5","[c]","[c]"
"In post","2022","Mixed","Property","G7","15","15","[c]","[c]"
"In post","2022","Mixed","Property","HEO","25","25","[c]","[c]"
"In post","2022","Mixed","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","SEO","25","25","[c]","[c]"
"In post","2022","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","AA","10","10","[c]","[c]"
"In post","2022","Mixed","Security","AO","35","35","28520","25610"
"In post","2022","Mixed","Security","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Security","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","G7","15","15","[c]","[c]"
"In post","2022","Mixed","Security","HEO","35","35","35930","34640"
"In post","2022","Mixed","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","SEO","15","15","[c]","[c]"
"In post","2022","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","AA","30","30","20610","21050"
"In post","2022","Mixed","Unknown","AO","200","180","23050","21680"
"In post","2022","Mixed","Unknown","EO","335","315","27560","27330"
"In post","2022","Mixed","Unknown","G6","40","35","71800","68940"
"In post","2022","Mixed","Unknown","G7","145","140","57960","57460"
"In post","2022","Mixed","Unknown","HEO","200","195","34590","35050"
"In post","2022","Mixed","Unknown","SCS level","15","15","[c]","[c]"
"In post","2022","Mixed","Unknown","SEO","160","150","42510","41970"
"In post","2022","Mixed","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","G6","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","G7","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","HEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","SEO","10","10","[c]","[c]"
