"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","London","10","10","38800","34500"
"In post","2022","Attorney General's Departments","Commercial","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Yorkshire and The Humber","Outside London","15","15","37910","34390"
"In post","2022","Attorney General's Departments","Communications","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","London","65","65","42220","39750"
"In post","2022","Attorney General's Departments","Communications","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","London","10","10","46840","39290"
"In post","2022","Attorney General's Departments","Counter Fraud","London","London","245","240","46670","40270"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","London","85","85","44230","40170"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Wales","Outside London","10","10","36370","31720"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Outside London","45","45","35790","31660"
"In post","2022","Attorney General's Departments","Finance","East Midlands (England)","Outside London","30","30","24490","22200"
"In post","2022","Attorney General's Departments","Finance","East of England","Outside London","15","15","27080","23770"
"In post","2022","Attorney General's Departments","Finance","London","London","75","75","38740","31560"
"In post","2022","Attorney General's Departments","Finance","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North West (England)","Outside London","10","10","25580","24060"
"In post","2022","Attorney General's Departments","Finance","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Yorkshire and The Humber","Outside London","50","50","30410","25920"
"In post","2022","Attorney General's Departments","Human Resources","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","London","London","130","125","39530","32530"
"In post","2022","Attorney General's Departments","Human Resources","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","North West (England)","Outside London","50","50","32020","30130"
"In post","2022","Attorney General's Departments","Human Resources","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
