"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","465","445","34230","30220"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","Outside London","15","15","38340","36480"
"In post","2022","Analysis","Companies House","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","Outside London","10","10","35310","35120"
"In post","2022","Analysis","Competition and Markets Authority","Economics","London","95","90","64300","59890"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","London","30","30","55030","54320"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Outside London","20","20","30150","29230"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Outside London","20","20","41360","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","Outside London","275","265","43180","47010"
