"Status","Year","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Outside London","Heterosexual / straight","15695","14615","30940","27570"
"In post","2022","East Midlands (England)","Outside London","LGBO","955","920","29990","27570"
"In post","2022","East Midlands (England)","Outside London","Undeclared","2005","1845","31330","27570"
"In post","2022","East Midlands (England)","Outside London","Unknown","4350","3985","28820","26820"
"In post","2022","East of England","Outside London","Heterosexual / straight","16055","15005","31430","28800"
"In post","2022","East of England","Outside London","LGBO","820","795","30110","27570"
"In post","2022","East of England","Outside London","Undeclared","2155","1990","31780","29290"
"In post","2022","East of England","Outside London","Unknown","3905","3560","30890","27570"
"In post","2022","London","London","Heterosexual / straight","68720","66150","44110","38750"
"In post","2022","London","London","LGBO","5600","5505","45280","40600"
"In post","2022","London","London","Undeclared","9740","9320","44010","39600"
"In post","2022","London","London","Unknown","20770","19980","42650","36650"
"In post","2022","North East (England)","Outside London","Heterosexual / straight","22105","20155","30290","27570"
"In post","2022","North East (England)","Outside London","LGBO","1295","1245","29770","27570"
"In post","2022","North East (England)","Outside London","Undeclared","2255","2025","30270","27130"
"In post","2022","North East (England)","Outside London","Unknown","7445","6640","27890","24920"
"In post","2022","North West (England)","Outside London","Heterosexual / straight","42955","39980","31010","27570"
"In post","2022","North West (England)","Outside London","LGBO","2840","2755","30420","27570"
"In post","2022","North West (England)","Outside London","Undeclared","4775","4380","30740","27570"
"In post","2022","North West (England)","Outside London","Unknown","13740","12590","28890","26750"
"In post","2022","Northern Ireland","Outside London","Heterosexual / straight","2905","2760","30280","26820"
"In post","2022","Northern Ireland","Outside London","LGBO","130","120","28500","26590"
"In post","2022","Northern Ireland","Outside London","Undeclared","230","215","29810","26820"
"In post","2022","Northern Ireland","Outside London","Unknown","995","945","27850","24880"
"In post","2022","Overseas","Overseas","Heterosexual / straight","2495","2480","49420","47870"
"In post","2022","Overseas","Overseas","LGBO","180","180","50930","52430"
"In post","2022","Overseas","Overseas","Undeclared","355","350","46660","41960"
"In post","2022","Overseas","Overseas","Unknown","660","655","50450","51500"
"In post","2022","Scotland","Outside London","Heterosexual / straight","30840","28880","34210","28990"
"In post","2022","Scotland","Outside London","LGBO","2125","2065","33010","27570"
"In post","2022","Scotland","Outside London","Undeclared","2990","2755","33170","27570"
"In post","2022","Scotland","Outside London","Unknown","15060","13995","31790","27570"
"In post","2022","South East (England)","Outside London","Heterosexual / straight","29165","27170","32040","28920"
"In post","2022","South East (England)","Outside London","LGBO","1755","1690","31140","28550"
"In post","2022","South East (England)","Outside London","Undeclared","4065","3770","32900","30110"
"In post","2022","South East (England)","Outside London","Unknown","7645","7030","32920","29230"
"In post","2022","South West (England)","Outside London","Heterosexual / straight","32430","30580","34840","31950"
"In post","2022","South West (England)","Outside London","LGBO","1765","1705","32130","28550"
"In post","2022","South West (England)","Outside London","Undeclared","4560","4260","36070","33300"
"In post","2022","South West (England)","Outside London","Unknown","7955","7410","34200","29230"
"In post","2022","Unknown","Unknown","Heterosexual / straight","865","820","34210","30650"
"In post","2022","Unknown","Unknown","LGBO","70","70","34170","30130"
"In post","2022","Unknown","Unknown","Undeclared","120","110","33580","29290"
"In post","2022","Unknown","Unknown","Unknown","2255","2230","36800","32700"
"In post","2022","Wales","Outside London","Heterosexual / straight","25710","23940","32500","27570"
"In post","2022","Wales","Outside London","LGBO","1590","1540","31220","27570"
"In post","2022","Wales","Outside London","Undeclared","4045","3625","31040","26860"
"In post","2022","Wales","Outside London","Unknown","6555","6000","29530","26610"
"In post","2022","West Midlands (England)","Outside London","Heterosexual / straight","22730","21240","31320","27570"
"In post","2022","West Midlands (England)","Outside London","LGBO","1220","1175","30540","27570"
"In post","2022","West Midlands (England)","Outside London","Undeclared","2625","2410","31140","27570"
"In post","2022","West Midlands (England)","Outside London","Unknown","6595","6040","30030","27130"
"In post","2022","Yorkshire and The Humber","Outside London","Heterosexual / straight","26580","24650","32350","27570"
"In post","2022","Yorkshire and The Humber","Outside London","LGBO","1705","1650","31920","27570"
"In post","2022","Yorkshire and The Humber","Outside London","Undeclared","3330","3070","32470","28200"
"In post","2022","Yorkshire and The Humber","Outside London","Unknown","7615","7040","30840","27570"
"Leaver CS","2022","East Midlands (England)","Outside London","Heterosexual / straight","1290","[c]","29190","27030"
"Leaver CS","2022","East Midlands (England)","Outside London","LGBO","80","[c]","28380","25900"
"Leaver CS","2022","East Midlands (England)","Outside London","Undeclared","160","[c]","27930","26780"
"Leaver CS","2022","East Midlands (England)","Outside London","Unknown","750","[c]","25930","22200"
"Leaver CS","2022","East of England","Outside London","Heterosexual / straight","1770","[c]","30980","27570"
"Leaver CS","2022","East of England","Outside London","LGBO","115","[c]","28810","27570"
"Leaver CS","2022","East of England","Outside London","Undeclared","195","[c]","32900","29090"
"Leaver CS","2022","East of England","Outside London","Unknown","595","[c]","31870","27570"
"Leaver CS","2022","London","London","Heterosexual / straight","5195","[c]","41580","34630"
"Leaver CS","2022","London","London","LGBO","505","[c]","40030","34020"
"Leaver CS","2022","London","London","Undeclared","1055","[c]","41180","35070"
"Leaver CS","2022","London","London","Unknown","2885","[c]","41790","34020"
"Leaver CS","2022","North East (England)","Outside London","Heterosexual / straight","1155","[c]","28090","22200"
"Leaver CS","2022","North East (England)","Outside London","LGBO","75","[c]","25380","21260"
"Leaver CS","2022","North East (England)","Outside London","Undeclared","115","[c]","30160","22040"
"Leaver CS","2022","North East (England)","Outside London","Unknown","1210","[c]","27430","22110"
"Leaver CS","2022","North West (England)","Outside London","Heterosexual / straight","2455","[c]","29190","25310"
"Leaver CS","2022","North West (England)","Outside London","LGBO","185","[c]","28200","26370"
"Leaver CS","2022","North West (England)","Outside London","Undeclared","270","[c]","29970","26780"
"Leaver CS","2022","North West (England)","Outside London","Unknown","1720","[c]","28330","25000"
"Leaver CS","2022","Northern Ireland","Outside London","Heterosexual / straight","115","[c]","28210","23040"
"Leaver CS","2022","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Outside London","Unknown","125","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Overseas","Heterosexual / straight","75","[c]","48480","43880"
"Leaver CS","2022","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Overseas","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Overseas","Unknown","55","[c]","46190","41600"
"Leaver CS","2022","Scotland","Outside London","Heterosexual / straight","1515","[c]","32500","27570"
"Leaver CS","2022","Scotland","Outside London","LGBO","120","[c]","30680","27470"
"Leaver CS","2022","Scotland","Outside London","Undeclared","185","[c]","30670","26780"
"Leaver CS","2022","Scotland","Outside London","Unknown","1925","[c]","31610","27360"
"Leaver CS","2022","South East (England)","Outside London","Heterosexual / straight","2895","[c]","30470","27570"
"Leaver CS","2022","South East (England)","Outside London","LGBO","230","[c]","29560","27570"
"Leaver CS","2022","South East (England)","Outside London","Undeclared","365","[c]","31370","27570"
"Leaver CS","2022","South East (England)","Outside London","Unknown","1075","[c]","30100","26130"
"Leaver CS","2022","South West (England)","Outside London","Heterosexual / straight","2620","[c]","32870","28100"
"Leaver CS","2022","South West (England)","Outside London","LGBO","165","[c]","28830","27570"
"Leaver CS","2022","South West (England)","Outside London","Undeclared","415","[c]","34140","32730"
"Leaver CS","2022","South West (England)","Outside London","Unknown","875","[c]","30450","27130"
"Leaver CS","2022","Unknown","Unknown","Heterosexual / straight","390","[c]","29260","21840"
"Leaver CS","2022","Unknown","Unknown","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Undeclared","175","[c]","25550","21840"
"Leaver CS","2022","Unknown","Unknown","Unknown","635","[c]","34890","30780"
"Leaver CS","2022","Wales","Outside London","Heterosexual / straight","1200","[c]","31750","27570"
"Leaver CS","2022","Wales","Outside London","LGBO","85","[c]","30850","27130"
"Leaver CS","2022","Wales","Outside London","Undeclared","135","[c]","33800","27570"
"Leaver CS","2022","Wales","Outside London","Unknown","785","[c]","27540","23830"
"Leaver CS","2022","West Midlands (England)","Outside London","Heterosexual / straight","1505","[c]","31090","27570"
"Leaver CS","2022","West Midlands (England)","Outside London","LGBO","110","[c]","28880","27570"
"Leaver CS","2022","West Midlands (England)","Outside London","Undeclared","185","[c]","30440","27570"
"Leaver CS","2022","West Midlands (England)","Outside London","Unknown","925","[c]","30140","25650"
"Leaver CS","2022","Yorkshire and The Humber","Outside London","Heterosexual / straight","1945","[c]","30430","27570"
"Leaver CS","2022","Yorkshire and The Humber","Outside London","LGBO","155","[c]","27600","25160"
"Leaver CS","2022","Yorkshire and The Humber","Outside London","Undeclared","310","[c]","30910","27570"
"Leaver CS","2022","Yorkshire and The Humber","Outside London","Unknown","1090","[c]","30430","27000"
"Leaver Dept.","2022","East Midlands (England)","Outside London","Heterosexual / straight","415","[c]","31690","27570"
"Leaver Dept.","2022","East Midlands (England)","Outside London","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Outside London","Undeclared","45","[c]","32050","31380"
"Leaver Dept.","2022","East Midlands (England)","Outside London","Unknown","150","[c]","35190","27570"
"Leaver Dept.","2022","East of England","Outside London","Heterosexual / straight","470","[c]","36890","30460"
"Leaver Dept.","2022","East of England","Outside London","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Outside London","Undeclared","60","[c]","38470","35290"
"Leaver Dept.","2022","East of England","Outside London","Unknown","110","[c]","44170","36060"
"Leaver Dept.","2022","London","London","Heterosexual / straight","5820","[c]","43790","39600"
"Leaver Dept.","2022","London","London","LGBO","635","[c]","42250","36970"
"Leaver Dept.","2022","London","London","Undeclared","1340","[c]","44780","40070"
"Leaver Dept.","2022","London","London","Unknown","2480","[c]","44710","36980"
"Leaver Dept.","2022","North East (England)","Outside London","Heterosexual / straight","555","[c]","31280","27570"
"Leaver Dept.","2022","North East (England)","Outside London","LGBO","45","[c]","30390","27570"
"Leaver Dept.","2022","North East (England)","Outside London","Undeclared","50","[c]","34450","27570"
"Leaver Dept.","2022","North East (England)","Outside London","Unknown","345","[c]","32910","27570"
"Leaver Dept.","2022","North West (England)","Outside London","Heterosexual / straight","1310","[c]","32000","27570"
"Leaver Dept.","2022","North West (England)","Outside London","LGBO","100","[c]","32400","27570"
"Leaver Dept.","2022","North West (England)","Outside London","Undeclared","130","[c]","34960","27570"
"Leaver Dept.","2022","North West (England)","Outside London","Unknown","530","[c]","31660","27570"
"Leaver Dept.","2022","Northern Ireland","Outside London","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Outside London","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Overseas","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Overseas","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Outside London","Heterosexual / straight","645","[c]","29160","27570"
"Leaver Dept.","2022","Scotland","Outside London","LGBO","75","[c]","28570","27570"
"Leaver Dept.","2022","Scotland","Outside London","Undeclared","65","[c]","28880","27570"
"Leaver Dept.","2022","Scotland","Outside London","Unknown","465","[c]","33130","27780"
"Leaver Dept.","2022","South East (England)","Outside London","Heterosexual / straight","715","[c]","38130","31280"
"Leaver Dept.","2022","South East (England)","Outside London","LGBO","60","[c]","39840","31660"
"Leaver Dept.","2022","South East (England)","Outside London","Undeclared","90","[c]","42250","33200"
"Leaver Dept.","2022","South East (England)","Outside London","Unknown","200","[c]","42990","39400"
"Leaver Dept.","2022","South West (England)","Outside London","Heterosexual / straight","1510","[c]","35750","31020"
"Leaver Dept.","2022","South West (England)","Outside London","LGBO","95","[c]","32480","28080"
"Leaver Dept.","2022","South West (England)","Outside London","Undeclared","255","[c]","39070","35610"
"Leaver Dept.","2022","South West (England)","Outside London","Unknown","275","[c]","42140","37490"
