"Status","Year","Disability","Function_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","SEO/HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","EO","30","30","29150","29730"
"In post","2022","Declared disabled","Analysis","London","G6/G7","95","90","63830","62120"
"In post","2022","Declared disabled","Analysis","London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","SEO/HEO","145","140","38970","37930"
"In post","2022","Declared disabled","Analysis","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","G6/G7","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","SEO/HEO","35","30","36110","33370"
"In post","2022","Declared disabled","Analysis","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","G6/G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","SEO/HEO","50","45","35510","37770"
"In post","2022","Declared disabled","Analysis","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","EO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","SEO/HEO","80","75","34850","34980"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
