"Status","Year","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","G6/G7","Female","Heterosexual / straight","1215","[c]","59020","56110"
"Leaver CS","2022","G6/G7","Female","LGBO","60","[c]","60590","55940"
"Leaver CS","2022","G6/G7","Female","Undeclared","205","[c]","59310","56690"
"Leaver CS","2022","G6/G7","Female","Unknown","530","[c]","60100","57190"
"Leaver CS","2022","G6/G7","Male","Heterosexual / straight","1195","[c]","61050","59540"
"Leaver CS","2022","G6/G7","Male","LGBO","110","[c]","60960","58040"
"Leaver CS","2022","G6/G7","Male","Undeclared","250","[c]","60670","59030"
"Leaver CS","2022","G6/G7","Male","Unknown","740","[c]","60330","58730"
"Leaver CS","2022","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Female","Heterosexual / straight","190","[c]","94090","92440"
"Leaver CS","2022","SCS level","Female","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Female","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Female","Unknown","100","[c]","105810","95430"
"Leaver CS","2022","SCS level","Male","Heterosexual / straight","220","[c]","97630","94500"
"Leaver CS","2022","SCS level","Male","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Male","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Male","Unknown","115","[c]","101830","92100"
"Leaver CS","2022","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Female","Heterosexual / straight","2565","[c]","37140","36620"
"Leaver CS","2022","SEO/HEO","Female","LGBO","190","[c]","35940","34620"
"Leaver CS","2022","SEO/HEO","Female","Undeclared","435","[c]","37670","37500"
"Leaver CS","2022","SEO/HEO","Female","Unknown","1145","[c]","36490","36000"
"Leaver CS","2022","SEO/HEO","Male","Heterosexual / straight","2525","[c]","37970","36960"
"Leaver CS","2022","SEO/HEO","Male","LGBO","155","[c]","37190","36800"
"Leaver CS","2022","SEO/HEO","Male","Undeclared","495","[c]","38730","38010"
"Leaver CS","2022","SEO/HEO","Male","Unknown","1370","[c]","37530","36800"
"Leaver CS","2022","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Heterosexual / straight","830","[c]","36480","29200"
"Leaver CS","2022","Unknown","Female","LGBO","75","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Undeclared","105","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Unknown","485","[c]","36150","32700"
"Leaver CS","2022","Unknown","Male","Heterosexual / straight","355","[c]","38020","39000"
"Leaver CS","2022","Unknown","Male","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Undeclared","60","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Unknown","395","[c]","36400","33570"
"Leaver CS","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Heterosexual / straight","1215","[c]","21470","21260"
"Leaver Dept.","2022","AA/AO","Female","LGBO","75","[c]","21300","21260"
"Leaver Dept.","2022","AA/AO","Female","Undeclared","125","[c]","21280","21260"
"Leaver Dept.","2022","AA/AO","Female","Unknown","620","[c]","21550","21260"
"Leaver Dept.","2022","AA/AO","Male","Heterosexual / straight","715","[c]","21570","21260"
"Leaver Dept.","2022","AA/AO","Male","LGBO","65","[c]","21480","21260"
"Leaver Dept.","2022","AA/AO","Male","Undeclared","90","[c]","21950","21260"
"Leaver Dept.","2022","AA/AO","Male","Unknown","440","[c]","21280","21130"
"Leaver Dept.","2022","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Heterosexual / straight","2200","[c]","26960","27570"
"Leaver Dept.","2022","EO","Female","LGBO","155","[c]","27270","27570"
"Leaver Dept.","2022","EO","Female","Undeclared","295","[c]","26860","27570"
"Leaver Dept.","2022","EO","Female","Unknown","575","[c]","27430","27570"
"Leaver Dept.","2022","EO","Male","Heterosexual / straight","1285","[c]","27040","27570"
"Leaver Dept.","2022","EO","Male","LGBO","160","[c]","27270","27570"
"Leaver Dept.","2022","EO","Male","Undeclared","185","[c]","26620","27500"
"Leaver Dept.","2022","EO","Male","Unknown","395","[c]","27530","27570"
"Leaver Dept.","2022","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Female","Heterosexual / straight","1570","[c]","57310","54700"
"Leaver Dept.","2022","G6/G7","Female","LGBO","105","[c]","57230","54270"
"Leaver Dept.","2022","G6/G7","Female","Undeclared","375","[c]","58390","54760"
"Leaver Dept.","2022","G6/G7","Female","Unknown","605","[c]","58270","54940"
"Leaver Dept.","2022","G6/G7","Male","Heterosexual / straight","1130","[c]","58550","55930"
"Leaver Dept.","2022","G6/G7","Male","LGBO","145","[c]","57070","54700"
"Leaver Dept.","2022","G6/G7","Male","Undeclared","335","[c]","58450","55400"
"Leaver Dept.","2022","G6/G7","Male","Unknown","525","[c]","58900","56010"
"Leaver Dept.","2022","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS level","Female","Heterosexual / straight","275","[c]","95620","94490"
"Leaver Dept.","2022","SCS level","Female","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS level","Female","Undeclared","55","[c]","93420","91500"
"Leaver Dept.","2022","SCS level","Female","Unknown","110","[c]","106970","101430"
"Leaver Dept.","2022","SCS level","Male","Heterosexual / straight","235","[c]","96450","93000"
"Leaver Dept.","2022","SCS level","Male","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS level","Male","Undeclared","70","[c]","103540","98750"
"Leaver Dept.","2022","SCS level","Male","Unknown","90","[c]","103630","98550"
"Leaver Dept.","2022","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Female","Heterosexual / straight","3295","[c]","35830","35310"
"Leaver Dept.","2022","SEO/HEO","Female","LGBO","250","[c]","35830","35360"
"Leaver Dept.","2022","SEO/HEO","Female","Undeclared","635","[c]","36050","36050"
"Leaver Dept.","2022","SEO/HEO","Female","Unknown","1200","[c]","34870","33610"
"Leaver Dept.","2022","SEO/HEO","Male","Heterosexual / straight","1930","[c]","36150","35710"
"Leaver Dept.","2022","SEO/HEO","Male","LGBO","275","[c]","35690","35010"
"Leaver Dept.","2022","SEO/HEO","Male","Undeclared","470","[c]","36510","36330"
"Leaver Dept.","2022","SEO/HEO","Male","Unknown","1005","[c]","35410","33930"
"Leaver Dept.","2022","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Heterosexual / straight","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Undeclared","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Heterosexual / straight","55","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Undeclared","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Female","Heterosexual / straight","7440","[c]","21810","21260"
"New entrant CS","2022","AA/AO","Female","LGBO","900","[c]","22070","21260"
"New entrant CS","2022","AA/AO","Female","Undeclared","465","[c]","21760","21260"
"New entrant CS","2022","AA/AO","Female","Unknown","4755","[c]","21900","21260"
"New entrant CS","2022","AA/AO","Male","Heterosexual / straight","5805","[c]","22390","21260"
"New entrant CS","2022","AA/AO","Male","LGBO","595","[c]","21670","21260"
"New entrant CS","2022","AA/AO","Male","Undeclared","335","[c]","21940","21260"
"New entrant CS","2022","AA/AO","Male","Unknown","3835","[c]","22220","21260"
"New entrant CS","2022","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Female","Heterosexual / straight","5515","[c]","27230","27570"
"New entrant CS","2022","EO","Female","LGBO","545","[c]","26890","27230"
"New entrant CS","2022","EO","Female","Undeclared","470","[c]","26910","27270"
"New entrant CS","2022","EO","Female","Unknown","2415","[c]","26950","27130"
"New entrant CS","2022","EO","Male","Heterosexual / straight","4105","[c]","27250","27270"
"New entrant CS","2022","EO","Male","LGBO","505","[c]","27130","27230"
"New entrant CS","2022","EO","Male","Undeclared","340","[c]","27090","27230"
"New entrant CS","2022","EO","Male","Unknown","2325","[c]","26880","26590"
"New entrant CS","2022","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Female","Heterosexual / straight","1420","[c]","55210","53130"
"New entrant CS","2022","G6/G7","Female","LGBO","105","[c]","55670","53360"
"New entrant CS","2022","G6/G7","Female","Undeclared","180","[c]","55250","53360"
"New entrant CS","2022","G6/G7","Female","Unknown","570","[c]","58390","55550"
"New entrant CS","2022","G6/G7","Male","Heterosexual / straight","1340","[c]","56780","54110"
"New entrant CS","2022","G6/G7","Male","LGBO","120","[c]","56580","54110"
"New entrant CS","2022","G6/G7","Male","Undeclared","160","[c]","55610","53450"
"New entrant CS","2022","G6/G7","Male","Unknown","665","[c]","59620","57190"
"New entrant CS","2022","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS level","Female","Heterosexual / straight","95","[c]","92200","88000"
"New entrant CS","2022","SCS level","Female","LGBO","5","[c]","[c]","[c]"
