"Status","Year","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Education","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Education","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Heterosexual / straight","195","185","33810","30220"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","30","30","34420","34330"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Unknown","280","270","34140","30220"
"In post","2022","Analysis","Department for International Trade","Heterosexual / straight","175","170","45220","43120"
"In post","2022","Analysis","Department for International Trade","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Unknown","50","50","41150","32730"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Heterosexual / straight","190","185","47270","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Heterosexual / straight","265","255","45640","42710"
"In post","2022","Analysis","Department for Transport","LGBO","35","35","44800","42470"
"In post","2022","Analysis","Department for Transport","Undeclared","35","30","48400","54650"
"In post","2022","Analysis","Department for Transport","Unknown","70","70","41540","35980"
"In post","2022","Analysis","Department for Work and Pensions","Heterosexual / straight","505","480","43290","37380"
"In post","2022","Analysis","Department for Work and Pensions","LGBO","40","40","41340","36650"
"In post","2022","Analysis","Department for Work and Pensions","Undeclared","45","40","42160","37380"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","85","85","42830","40140"
"In post","2022","Analysis","Department of Health and Social Care","Heterosexual / straight","280","270","51630","53360"
"In post","2022","Analysis","Department of Health and Social Care","LGBO","30","30","48940","53360"
"In post","2022","Analysis","Department of Health and Social Care","Undeclared","135","130","49860","53360"
"In post","2022","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Heterosexual / straight","35","35","40880","40350"
"In post","2022","Analysis","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Heterosexual / straight","40","40","60640","61930"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Undeclared","10","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Heterosexual / straight","555","535","47150","40520"
"In post","2022","Analysis","HM Revenue and Customs","LGBO","70","70","44180","37930"
"In post","2022","Analysis","HM Revenue and Customs","Undeclared","60","60","45740","40520"
"In post","2022","Analysis","HM Revenue and Customs","Unknown","110","105","41320","37930"
"In post","2022","Analysis","HM Treasury","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Unknown","30","25","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Heterosexual / straight","340","325","39590","38070"
"In post","2022","Analysis","Ministry of Defence","LGBO","35","35","38160","38070"
"In post","2022","Analysis","Ministry of Defence","Undeclared","40","40","38280","38070"
"In post","2022","Analysis","Ministry of Defence","Unknown","395","375","41070","38110"
"In post","2022","Analysis","Ministry of Justice","Heterosexual / straight","370","355","47680","43030"
"In post","2022","Analysis","Ministry of Justice","LGBO","35","35","42550","41750"
"In post","2022","Analysis","Ministry of Justice","Undeclared","55","50","48630","42010"
"In post","2022","Analysis","Ministry of Justice","Unknown","105","100","42690","36800"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","100","100","41420","39460"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","LGBO","15","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","110","110","43200","36500"
"In post","2022","Analysis","Office of Gas and Electricity Markets","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Unknown","45","45","47310","37930"
"In post","2022","Analysis","Office of Rail and Road","Heterosexual / straight","30","30","50210","51310"
"In post","2022","Analysis","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","Heterosexual / straight","1325","1265","38530","36840"
"In post","2022","Analysis","UK Statistics Authority","LGBO","135","135","35900","33000"
"In post","2022","Analysis","UK Statistics Authority","Undeclared","95","95","35030","31700"
"In post","2022","Analysis","UK Statistics Authority","Unknown","420","400","38320","36840"
"In post","2022","Analysis","Water Services Regulation Authority","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","Heterosexual / straight","40","40","38040","38180"
"In post","2022","Commercial","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","Heterosexual / straight","570","555","54420","40000"
"In post","2022","Commercial","Cabinet Office","LGBO","35","35","49720","43370"
"In post","2022","Commercial","Cabinet Office","Undeclared","50","50","52010","41300"
"In post","2022","Commercial","Cabinet Office","Unknown","1365","1345","68100","64500"
"In post","2022","Commercial","Chancellor's other departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","230","220","44290","45150"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Undeclared","35","30","44090","43260"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Education","Heterosexual / straight","210","205","39080","36500"
"In post","2022","Commercial","Department for Education","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Education","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Education","Unknown","30","30","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Heterosexual / straight","160","155","35220","35900"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Unknown","35","30","40610","37530"
"In post","2022","Commercial","Department for International Trade","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Transport","Heterosexual / straight","280","270","40430","34880"
"In post","2022","Commercial","Department for Transport","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Transport","Undeclared","65","55","33370","31730"
"In post","2022","Commercial","Department for Transport","Unknown","35","35","39340","36650"
"In post","2022","Commercial","Department for Work and Pensions","Heterosexual / straight","40","35","40880","39330"
"In post","2022","Commercial","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care","Heterosexual / straight","225","220","49610","49530"
"In post","2022","Commercial","Department of Health and Social Care","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care","Undeclared","115","110","46720","41530"
"In post","2022","Commercial","Department of Health and Social Care","Unknown","65","60","49780","53120"
"In post","2022","Commercial","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","Heterosexual / straight","125","120","42570","39600"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","Undeclared","10","5","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs","Heterosexual / straight","95","90","38080","33880"
"In post","2022","Commercial","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs","Unknown","45","40","37910","36810"
"In post","2022","Commercial","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Ministry of Defence","Heterosexual / straight","1275","1235","38850","36000"
"In post","2022","Commercial","Ministry of Defence","LGBO","55","55","35820","33300"
"In post","2022","Commercial","Ministry of Defence","Undeclared","190","185","39610","39550"
"In post","2022","Commercial","Ministry of Defence","Unknown","210","205","35340","33290"
"In post","2022","Commercial","Ministry of Justice","Heterosexual / straight","185","185","36140","36050"
"In post","2022","Commercial","Ministry of Justice","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice","Unknown","35","30","31330","34260"
"In post","2022","Commercial","National Crime Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scottish Government","Heterosexual / straight","45","45","38380","37710"
"In post","2022","Commercial","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scottish Government","Unknown","60","55","28860","26900"
"In post","2022","Commercial","The National Archives","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","The National Archives","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","Heterosexual / straight","180","175","52040","45980"
"In post","2022","Commercial","UK Export Finance","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Attorney General's Departments","Heterosexual / straight","50","50","44620","39750"
"In post","2022","Communications","Attorney General's Departments","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Attorney General's Departments","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Cabinet Office","Heterosexual / straight","225","220","48400","41310"
"In post","2022","Communications","Cabinet Office","LGBO","25","25","[c]","[c]"
"In post","2022","Communications","Cabinet Office","Undeclared","15","15","[c]","[c]"
"In post","2022","Communications","Cabinet Office","Unknown","105","105","48510","42200"
"In post","2022","Communications","Chancellor's other departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Communications","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Charity Commission","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Charity Commission","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","175","165","43320","40040"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy","Undeclared","10","10","[c]","[c]"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy","Unknown","50","50","43070","39910"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Education","Heterosexual / straight","165","160","41210","36660"
"In post","2022","Communications","Department for Education","LGBO","20","20","[c]","[c]"
"In post","2022","Communications","Department for Education","Undeclared","15","15","[c]","[c]"
"In post","2022","Communications","Department for Education","Unknown","35","35","35980","33500"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs","Heterosexual / straight","200","190","40060","36970"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs","Undeclared","20","15","[c]","[c]"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs","Unknown","65","65","38400","35900"
"In post","2022","Communications","Department for International Trade","Heterosexual / straight","60","55","45000","38540"
"In post","2022","Communications","Department for International Trade","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Department for International Trade","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","Department for International Trade","Unknown","35","35","42890","38160"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities","Heterosexual / straight","75","70","41020","36340"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities","Undeclared","10","10","[c]","[c]"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities","Unknown","20","20","[c]","[c]"
"In post","2022","Communications","Department for Transport","Heterosexual / straight","145","140","38690","34710"
"In post","2022","Communications","Department for Transport","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Department for Transport","Undeclared","25","25","[c]","[c]"
"In post","2022","Communications","Department for Transport","Unknown","45","45","44720","42470"
"In post","2022","Communications","Department for Work and Pensions","Heterosexual / straight","120","110","43160","41020"
"In post","2022","Communications","Department for Work and Pensions","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Department for Work and Pensions","Undeclared","20","20","[c]","[c]"
"In post","2022","Communications","Department for Work and Pensions","Unknown","55","50","41110","38720"
"In post","2022","Communications","Department of Health and Social Care","Heterosexual / straight","265","255","45640","42030"
"In post","2022","Communications","Department of Health and Social Care","LGBO","35","35","44370","40850"
"In post","2022","Communications","Department of Health and Social Care","Undeclared","165","160","46250","49530"
"In post","2022","Communications","Department of Health and Social Care","Unknown","25","20","[c]","[c]"
"In post","2022","Communications","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Heterosexual / straight","40","40","42380","37630"
"In post","2022","Communications","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office","Heterosexual / straight","65","60","51120","50840"
"In post","2022","Communications","Foreign, Commonwealth and Development Office","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office","Unknown","30","30","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Communications","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Unknown","5","5","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs","Heterosexual / straight","2630","2530","31140","26820"
"In post","2022","Communications","HM Revenue and Customs","LGBO","220","220","30840","26820"
"In post","2022","Communications","HM Revenue and Customs","Undeclared","200","195","30770","26820"
"In post","2022","Communications","HM Revenue and Customs","Unknown","1590","1545","29250","26820"
"In post","2022","Communications","HM Treasury","Heterosexual / straight","40","35","49930","45700"
"In post","2022","Communications","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury","Unknown","5","5","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Heterosexual / straight","435","425","35510","33300"
"In post","2022","Communications","Ministry of Defence","LGBO","25","25","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Undeclared","65","65","35530","33300"
"In post","2022","Communications","Ministry of Defence","Unknown","90","85","40570","37560"
"In post","2022","Communications","Ministry of Justice","Heterosexual / straight","105","100","44640","41750"
"In post","2022","Communications","Ministry of Justice","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","Ministry of Justice","Undeclared","10","10","[c]","[c]"
"In post","2022","Communications","Ministry of Justice","Unknown","50","50","43390","41750"
"In post","2022","Communications","National Crime Agency","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Communications","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Unknown","20","20","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Heterosexual / straight","10","10","[c]","[c]"
