"Status","Year","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","75","70","38340","36000"
"In post","2022","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","5","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","55","50","42550","39000"
"In post","2022","Analysis","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","135","130","39430","36700"
"In post","2022","Analysis","Buckinghamshire","10","10","35440","29850"
"In post","2022","Analysis","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","10","10","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","230","215","68370","65350"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","40","35","39370","36480"
"In post","2022","Analysis","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","400","385","41420","38960"
"In post","2022","Analysis","Central Valleys","5","5","[c]","[c]"
"In post","2022","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","70","65","48340","45000"
"In post","2022","Analysis","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2022","Analysis","Coventry","10","10","[c]","[c]"
"In post","2022","Analysis","Croydon","60","60","51370","46470"
"In post","2022","Analysis","Darlington","30","30","35240","30710"
