"Status","Year","Disability","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Outside London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","London","35","30","48150","42670"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","Outside London","55","50","39950","35590"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","London","35","30","46460","43430"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","Outside London","50","50","42580","40180"
"In post","2022","Declared disabled","Analysis","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Outside London","40","40","40000","38070"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","London","40","40","45130","41750"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Outside London","170","160","37630","36840"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Outside London","50","50","45760","38330"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
