"Status","Year","Disability","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Devon","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Devon","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Anglia","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Wales","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Wales","G6/G7","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Essex","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Essex","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Essex","G6/G7","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Essex","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Greater Manchester","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Greater Manchester","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Greater Manchester","G6/G7","25","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Greater Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - West","AA/AO","40","40","23310","23770"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - West","EO","80","75","29290","29620"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - West","G6/G7","225","205","61410","62150"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - West","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - West","SEO/HEO","55","55","36990","35660"
"In post","2022","Declared disabled","Attorney General's Departments","Kent","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Kent","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lancashire","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lancashire","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AA/AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Merseyside","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Merseyside","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Merseyside","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Merseyside","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North Yorkshire","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North Yorkshire","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North Yorkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Northumberland, and Tyne and Wear","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Northumberland, and Tyne and Wear","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Northumberland, and Tyne and Wear","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
