"Status","Year","Ethnicity","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","AA","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","AO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","HEO","[c]","[c]","[c]","[c]"
