"Status","Year","Disability","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scottish Government","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","160","150","31270","30950"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","385","365","28720","25190"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","London","500","490","48900","49700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","285","275","36450","33300"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","40","40","28810","29270"
"In post","2022","Declared disabled","Charity Commission","Charity Commission","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Charity Commission","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","90","80","31830","24900"
"In post","2022","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","London","45","45","54170","52190"
"In post","2022","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","35","30","24330","25120"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Cabinet Office","Outside London","60","60","38660","38330"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","135","125","35620","30040"
"In post","2022","Declared disabled","Crown Prosecution Service","Attorney General's Departments","London","205","190","46910","40800"
"In post","2022","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Outside London","620","570","39930","34480"
"In post","2022","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Outside London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Ministry of Defence","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Ministry of Defence","Outside London","1035","990","35580","33350"
"In post","2022","Declared disabled","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","250","240","39780","38070"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","500","490","48050","44360"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","65","65","39110","31740"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","150","145","47480","40510"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Department for Education","London","190","180","48360","45250"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Department for Education","Outside London","375","355","38410","36500"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","300","290","43430","38750"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","470","455","39420","36350"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
