"Status","Year","Function_of_post","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Female","Heterosexual / straight","60","55","67830","65470"
"In post","2022","Analysis","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Male","Heterosexual / straight","100","95","70910","60400"
"In post","2022","Analysis","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","Heterosexual / straight","45","40","61220","56360"
"In post","2022","Analysis","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Male","Heterosexual / straight","65","60","62660","56630"
"In post","2022","Analysis","Competition and Markets Authority","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","120","115","40250","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","175","175","44070","39570"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","45","40","46290","38280"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","70","70","49920","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","Unknown","5","5","[c]","[c]"
