"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Heterosexual / straight","115","110","41570","39600"
"In post","2022","Asian","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","LGBO","[c]","[c]","[c]","[c]"
