"Status","Year","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","25","25","55410","53850"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","AA/AO","25","25","23860","23770"
"In post","2022","Attorney General's Departments","Berkshire","EO","25","25","28230","27050"
"In post","2022","Attorney General's Departments","Berkshire","G6/G7","55","50","60210","60960"
"In post","2022","Attorney General's Departments","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","SEO/HEO","20","20","36700","36240"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","AA/AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","AA/AO","100","90","22250","22200"
"In post","2022","Attorney General's Departments","Birmingham","EO","100","95","26950","26160"
"In post","2022","Attorney General's Departments","Birmingham","G6/G7","230","215","54870","54200"
"In post","2022","Attorney General's Departments","Birmingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","SEO/HEO","65","65","34250","34480"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","AA/AO","30","25","23700","23770"
"In post","2022","Attorney General's Departments","Brighton and Hove","EO","35","30","28180","27760"
"In post","2022","Attorney General's Departments","Brighton and Hove","G6/G7","45","45","60300","62120"
"In post","2022","Attorney General's Departments","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","SEO/HEO","15","10","36820","36240"
"In post","2022","Attorney General's Departments","Bristol, City of","AA/AO","30","30","22080","22200"
"In post","2022","Attorney General's Departments","Bristol, City of","EO","30","30","26760","26160"
"In post","2022","Attorney General's Departments","Bristol, City of","G6/G7","85","80","54560","54600"
"In post","2022","Attorney General's Departments","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","SEO/HEO","25","25","35050","34480"
"In post","2022","Attorney General's Departments","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","G6/G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","G6/G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
