"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","EO","Heterosexual / straight","70","65","28180","27850"
"In post","2022","Asian","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","G6/G7","Heterosexual / straight","175","170","59480","57620"
"In post","2022","Asian","Analysis","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SEO/HEO","Heterosexual / straight","270","265","37350","37380"
"In post","2022","Asian","Analysis","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Heterosexual / straight","40","40","27100","26820"
"In post","2022","Asian","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6/G7","Heterosexual / straight","45","45","59890","58920"
"In post","2022","Asian","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SEO/HEO","Heterosexual / straight","145","145","37630","36780"
