"Status","Year","Age","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
