"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Medway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Medway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Mid Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Mid Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Mid Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Mid Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","Female","70","65","28910","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","Male","35","35","28710","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Sefton","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Sefton","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Somerset CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Somerset CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West Wales","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West Wales","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Staffordshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Staffordshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Suffolk CC","Outside London","Female","25","25","[c]","[c]"
