"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","AA/AO","Female","4490","3915","21880","21260"
"In post","2022","East Midlands (England)","AA/AO","Male","3475","3345","23510","21300"
"In post","2022","East Midlands (England)","EO","Female","3595","3215","27140","27570"
"In post","2022","East Midlands (England)","EO","Male","2695","2600","27710","27570"
"In post","2022","East Midlands (England)","G6/G7","Female","865","820","57220","55210"
"In post","2022","East Midlands (England)","G6/G7","Male","840","810","59050","55210"
"In post","2022","East Midlands (England)","SCS level","Female","50","50","89060","84560"
"In post","2022","East Midlands (England)","SCS level","Male","40","40","94310","88550"
"In post","2022","East Midlands (England)","SEO/HEO","Female","2860","2680","36180","33840"
"In post","2022","East Midlands (England)","SEO/HEO","Male","2540","2470","36730","34290"
"In post","2022","East Midlands (England)","Unknown","Female","1195","1080","29240","28200"
"In post","2022","East Midlands (England)","Unknown","Male","355","335","30830","28200"
"In post","2022","East of England","AA/AO","Female","3925","3455","22880","21680"
"In post","2022","East of England","AA/AO","Male","3495","3370","25250","23140"
"In post","2022","East of England","EO","Female","3940","3525","28090","27570"
"In post","2022","East of England","EO","Male","3020","2890","28660","27570"
"In post","2022","East of England","G6/G7","Female","725","680","58660","55210"
"In post","2022","East of England","G6/G7","Male","750","730","59750","57390"
"In post","2022","East of England","SCS level","Female","55","55","97400","95620"
"In post","2022","East of England","SCS level","Male","75","75","95840","93000"
"In post","2022","East of England","SEO/HEO","Female","2535","2380","36710","35630"
"In post","2022","East of England","SEO/HEO","Male","2675","2600","37360","36260"
"In post","2022","East of England","Unknown","Female","1295","1175","28630","26310"
"In post","2022","East of England","Unknown","Male","435","415","29360","26580"
"In post","2022","London","AA/AO","Female","6730","6025","25380","25110"
"In post","2022","London","AA/AO","Male","5145","4980","26960","25330"
"In post","2022","London","EO","Female","12565","11745","30090","30370"
"In post","2022","London","EO","Male","8560","8350","30350","30600"
"In post","2022","London","G6/G7","Female","14955","14230","60060","57910"
