"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","EO","Female","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","EO","Male","5","5","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","EO","Female","15","15","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","EO","Male","15","15","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","EO","Female","55","50","27250","27500"
"In post","2022","Asian","Cabinet Office (excl. agencies)","EO","Male","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","G6/G7","Female","105","105","58530","56340"
"In post","2022","Asian","Cabinet Office (excl. agencies)","G6/G7","Male","90","90","58030","54850"
"In post","2022","Asian","Cabinet Office (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SEO/HEO","Female","115","115","36940","35590"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SEO/HEO","Male","75","75","37170","35590"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
