"Status","Year","Function_of_post","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Westminster","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Westminster","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Westminster","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","EO","10","10","28770","28230"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","G6/G7","110","95","86750","81310"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","SEO/HEO","50","50","40020","38540"
"In post","2022","Analysis","Chancellor's other departments","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","City of Edinburgh","G6/G7","10","10","81030","73920"
"In post","2022","Analysis","Chancellor's other departments","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Mid Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Westminster","G6/G7","10","10","57560","56000"
"In post","2022","Analysis","Chancellor's other departments","Westminster","SEO/HEO","10","10","44320","45330"
"In post","2022","Analysis","Competition and Markets Authority","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
