"Status","Year","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","20","20","42120","35070"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","470","450","34250","30220"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","25","25","37140","36240"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","140","130","62030","56360"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","510","485","41100","38110"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","250","245","42770","37000"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","150","150","48010","52480"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","200","195","44640","43600"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","255","250","44050","40270"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","225","220","46950","48200"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","345","330","47730","48770"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","630","600","42950","37380"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","410","395","51050","53360"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","60","55","29600","26780"
"In post","2022","Analysis","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","45","45","39940","38430"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","60","55","59570","61400"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","185","175","69850","65470"
"In post","2022","Analysis","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","45","45","44240","39390"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","60","55","43340","38800"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","30","30","44870","38550"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","735","710","46000","40520"
"In post","2022","Analysis","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","50","45","40170","32100"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","40","40","48830","47060"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","300","290","38760","36000"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","495","475","46950","42010"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","25","25","48100","47520"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","35","35","51220","52530"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","130","125","40410","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","175","175","43990","37000"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","45","45","52370","51310"
"In post","2022","Analysis","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","25","25","39230","37710"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","45","45","30370","29180"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","40","40","41410","40270"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","20","20","68210","59590"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","30","30","49920","44750"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","20","20","48680","53380"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","1980","1895","38130","36840"
"In post","2022","Analysis","Valuation Office Agency","HM Revenue and Customs","60","60","45650","42500"
"In post","2022","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","45","40","60330","51630"
"In post","2022","Analysis","Welsh Revenue Authority","Welsh Government","5","5","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","70","65","33770","30140"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","1660","1640","69450","64500"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","15","15","42290","42410"
"In post","2022","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Cabinet Office","360","350","35990","34570"
"In post","2022","Commercial","Crown Prosecution Service","Attorney General's Departments","40","40","38140","38180"
"In post","2022","Commercial","Defence Electronics and Components Agency","Ministry of Defence","25","25","32770","32890"
"In post","2022","Commercial","Defence Equipment and Support","Ministry of Defence","440","425","43010","39890"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","80","75","32720","30370"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","35","35","46360","40050"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","35","35","41070","34020"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","250","245","37590","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","130","125","36590","35900"
"In post","2022","Commercial","Department for International Trade","Department for International Trade","30","30","37490","38160"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","25","25","41710","39600"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Department for Transport","145","140","48010","42470"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","290","285","49160","49530"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","170","155","32390","30730"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Department for Transport","55","55","35470","33890"
"In post","2022","Commercial","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","80","75","47480","44000"
"In post","2022","Commercial","Food Standards Agency","Food Standards Agency","15","15","36700","34440"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","60","55","40410","39630"
"In post","2022","Commercial","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Department for Work and Pensions","45","45","40360","36350"
"In post","2022","Commercial","HM Land Registry","HM Land Registry","20","20","42440","38550"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","145","140","37800","33880"
