"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","G7","15","15","53640","53420"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","HEO","10","10","35990","36660"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","SEO","15","15","44110","45250"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Central Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","AO","30","30","19860","19860"
"In post","2022","Analysis","Economics","East Wales","EO","15","15","24020","23880"
"In post","2022","Analysis","Economics","East Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","G7","25","25","51740","50210"
"In post","2022","Analysis","Economics","East Wales","HEO","40","40","31060","30710"
"In post","2022","Analysis","Economics","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","SEO","10","10","38430","38340"
"In post","2022","Analysis","Economics","Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","G7","15","10","53960","55210"
