"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Communications","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Debt","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2022","16-19","Debt","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2022","16-19","Finance","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Grants Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","AA/AO","Heterosexual / straight","310","295","21360","21260"
"In post","2022","16-19","No function","AA/AO","LGBO","35","30","22850","21840"
"In post","2022","16-19","No function","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2022","16-19","No function","AA/AO","Unknown","230","220","21380","21250"
"In post","2022","16-19","No function","EO","Heterosexual / straight","55","55","26470","27570"
"In post","2022","16-19","No function","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","EO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","No function","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
