"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","10","10","40620","39560"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","EO","10","10","26510","26370"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6/G7","15","10","58590","53360"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","35","35","35900","34960"
"In post","2022","Analysis","Devon","EO","10","10","26180","26120"
"In post","2022","Analysis","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","SEO/HEO","15","15","34570","32890"
"In post","2022","Analysis","Dorset and Somerset","AA/AO","10","10","21540","21510"
"In post","2022","Analysis","Dorset and Somerset","EO","35","30","25300","25010"
"In post","2022","Analysis","Dorset and Somerset","G6/G7","20","20","54410","49970"
"In post","2022","Analysis","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO/HEO","65","60","32930","30220"
"In post","2022","Analysis","East Anglia","AA/AO","25","25","20680","21510"
"In post","2022","Analysis","East Anglia","EO","65","60","25370","25010"
"In post","2022","Analysis","East Anglia","G6/G7","65","60","51840","49040"
"In post","2022","Analysis","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","SEO/HEO","185","180","33490","33000"
"In post","2022","Analysis","East Wales","AA/AO","60","55","20080","19860"
