"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","SEO/HEO","10","10","40750","42530"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","10","10","38160","38550"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","G6/G7","25","25","57730","53960"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
