"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","AA/AO","Heterosexual / straight","305","290","23440","23770"
"In post","2022","Attorney General's Departments","London","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA/AO","Unknown","85","75","23770","23770"
"In post","2022","Attorney General's Departments","London","EO","Heterosexual / straight","555","530","28430","27580"
"In post","2022","Attorney General's Departments","London","EO","LGBO","50","50","28740","27510"
"In post","2022","Attorney General's Departments","London","EO","Undeclared","45","45","28410","27580"
"In post","2022","Attorney General's Departments","London","EO","Unknown","130","120","28620","28890"
"In post","2022","Attorney General's Departments","London","G6/G7","Heterosexual / straight","1790","1675","59260","57660"
"In post","2022","Attorney General's Departments","London","G6/G7","LGBO","145","140","60110","58970"
"In post","2022","Attorney General's Departments","London","G6/G7","Undeclared","155","145","61090","62890"
"In post","2022","Attorney General's Departments","London","G6/G7","Unknown","560","505","62760","63780"
"In post","2022","Attorney General's Departments","London","SCS level","Heterosexual / straight","170","160","87400","82110"
"In post","2022","Attorney General's Departments","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SCS level","Undeclared","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SCS level","Unknown","55","50","88470","79880"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Heterosexual / straight","500","485","37180","37730"
"In post","2022","Attorney General's Departments","London","SEO/HEO","LGBO","35","35","37730","39750"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Undeclared","30","30","37960","39420"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Unknown","125","120","36880","36510"
"In post","2022","Attorney General's Departments","Outside London","AA/AO","Heterosexual / straight","800","735","22440","22200"
"In post","2022","Attorney General's Departments","Outside London","AA/AO","LGBO","60","55","22040","22200"
"In post","2022","Attorney General's Departments","Outside London","AA/AO","Undeclared","40","35","22290","22200"
"In post","2022","Attorney General's Departments","Outside London","AA/AO","Unknown","205","175","22530","22200"
"In post","2022","Attorney General's Departments","Outside London","EO","Heterosexual / straight","800","745","27200","26970"
"In post","2022","Attorney General's Departments","Outside London","EO","LGBO","50","50","26800","26220"
"In post","2022","Attorney General's Departments","Outside London","EO","Undeclared","35","35","27110","26220"
"In post","2022","Attorney General's Departments","Outside London","EO","Unknown","210","190","28110","28430"
"In post","2022","Attorney General's Departments","Outside London","G6/G7","Heterosexual / straight","1680","1565","55280","54000"
"In post","2022","Attorney General's Departments","Outside London","G6/G7","LGBO","60","55","57650","55610"
"In post","2022","Attorney General's Departments","Outside London","G6/G7","Undeclared","60","60","54210","53050"
"In post","2022","Attorney General's Departments","Outside London","G6/G7","Unknown","575","515","57980","55610"
"In post","2022","Attorney General's Departments","Outside London","SCS level","Heterosexual / straight","40","40","91660","91950"
"In post","2022","Attorney General's Departments","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","SEO/HEO","Heterosexual / straight","610","585","35490","35020"
"In post","2022","Attorney General's Departments","Outside London","SEO/HEO","LGBO","30","30","35310","36240"
"In post","2022","Attorney General's Departments","Outside London","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","SEO/HEO","Unknown","105","100","35290","34480"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","AA/AO","Heterosexual / straight","70","70","24350","24490"
"In post","2022","Cabinet Office","London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2022","Cabinet Office","London","EO","Heterosexual / straight","350","345","27740","27500"
"In post","2022","Cabinet Office","London","EO","LGBO","35","35","27640","27500"
"In post","2022","Cabinet Office","London","EO","Undeclared","45","45","27490","27500"
"In post","2022","Cabinet Office","London","EO","Unknown","115","110","27730","27500"
"In post","2022","Cabinet Office","London","G6/G7","Heterosexual / straight","1450","1425","59150","56340"
"In post","2022","Cabinet Office","London","G6/G7","LGBO","175","175","58200","54700"
"In post","2022","Cabinet Office","London","G6/G7","Undeclared","180","175","58600","56340"
"In post","2022","Cabinet Office","London","G6/G7","Unknown","895","885","62780","60640"
"In post","2022","Cabinet Office","London","SCS level","Heterosexual / straight","355","345","97030","87860"
"In post","2022","Cabinet Office","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office","London","SCS level","Undeclared","40","35","93100","83340"
"In post","2022","Cabinet Office","London","SCS level","Unknown","190","190","107240","99960"
"In post","2022","Cabinet Office","London","SEO/HEO","Heterosexual / straight","955","945","37740","37300"
"In post","2022","Cabinet Office","London","SEO/HEO","LGBO","130","130","37240","36250"
"In post","2022","Cabinet Office","London","SEO/HEO","Undeclared","125","120","37940","37310"
"In post","2022","Cabinet Office","London","SEO/HEO","Unknown","1430","1425","31570","29250"
"In post","2022","Cabinet Office","Outside London","AA/AO","Heterosexual / straight","250","225","21080","21050"
"In post","2022","Cabinet Office","Outside London","AA/AO","LGBO","25","20","[c]","[c]"
"In post","2022","Cabinet Office","Outside London","AA/AO","Undeclared","25","20","[c]","[c]"
"In post","2022","Cabinet Office","Outside London","AA/AO","Unknown","85","80","21200","21050"
"In post","2022","Cabinet Office","Outside London","EO","Heterosexual / straight","340","320","25280","25520"
"In post","2022","Cabinet Office","Outside London","EO","LGBO","35","35","24810","24100"
"In post","2022","Cabinet Office","Outside London","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Outside London","EO","Unknown","90","85","25560","25950"
"In post","2022","Cabinet Office","Outside London","G6/G7","Heterosexual / straight","540","530","55660","52630"
"In post","2022","Cabinet Office","Outside London","G6/G7","LGBO","40","40","53150","51100"
"In post","2022","Cabinet Office","Outside London","G6/G7","Undeclared","45","40","57040","54700"
"In post","2022","Cabinet Office","Outside London","G6/G7","Unknown","595","590","63570","63640"
"In post","2022","Cabinet Office","Outside London","SCS level","Heterosexual / straight","80","80","97230","86390"
"In post","2022","Cabinet Office","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Outside London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Outside London","SCS level","Unknown","70","70","110070","103370"
"In post","2022","Cabinet Office","Outside London","SEO/HEO","Heterosexual / straight","980","950","35130","33630"
"In post","2022","Cabinet Office","Outside London","SEO/HEO","LGBO","75","75","34700","33300"
"In post","2022","Cabinet Office","Outside London","SEO/HEO","Undeclared","80","80","35210","33300"
"In post","2022","Cabinet Office","Outside London","SEO/HEO","Unknown","600","590","31970","31990"
"In post","2022","Cabinet Office","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","G6/G7","Heterosexual / straight","45","45","54540","54700"
"In post","2022","Cabinet Office","Unknown","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","G6/G7","Unknown","30","30","58920","54700"
"In post","2022","Cabinet Office","Unknown","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","Heterosexual / straight","80","80","35130","34550"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","Unknown","245","245","30380","29250"
"In post","2022","Chancellor's other departments","London","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","G6/G7","Heterosexual / straight","130","120","79080","73520"
"In post","2022","Chancellor's other departments","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","G6/G7","Undeclared","35","35","71610","65470"
"In post","2022","Chancellor's other departments","London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","SCS level","Undeclared","5","5","[c]","[c]"
