"Status","Year","Age","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Wales","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","Westminster","10","10","26770","27680"
"In post","2022","16-19","Analysis","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Derbyshire and Nottinghamshire","Nottingham","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","Westminster","10","10","26740","27380"
"In post","2022","16-19","Communications","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
