"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO/HEO","Heterosexual / straight","40","35","35600","33920"
"In post","2022","Analysis","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","EO","Heterosexual / straight","30","30","25450","25240"
"In post","2022","Analysis","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","EO","Unknown","30","30","25400","25010"
"In post","2022","Analysis","East of England","G6/G7","Heterosexual / straight","30","30","53120","50880"
"In post","2022","Analysis","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","G6/G7","Unknown","40","40","52650","49040"
"In post","2022","Analysis","East of England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SEO/HEO","Heterosexual / straight","75","70","34930","35900"
"In post","2022","Analysis","East of England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","East of England","SEO/HEO","Unknown","115","110","33610","32880"
"In post","2022","Analysis","London","AA/AO","Heterosexual / straight","45","45","24490","25000"
"In post","2022","Analysis","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","London","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","London","EO","Heterosexual / straight","205","200","28980","28400"
"In post","2022","Analysis","London","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","London","EO","Unknown","65","65","28750","28310"
"In post","2022","Analysis","London","G6/G7","Heterosexual / straight","1145","1090","62830","60280"
