"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","White","Overseas","SEO","350","350","46680","41960"
"In post","2022","White","Overseas","Unknown","140","140","40940","33050"
"In post","2022","White","Unknown","AA","15","15","[c]","[c]"
"In post","2022","White","Unknown","AO","100","90","21730","21260"
"In post","2022","White","Unknown","EO","230","220","27780","27570"
"In post","2022","White","Unknown","G6","20","15","[c]","[c]"
"In post","2022","White","Unknown","G7","75","75","53070","52000"
"In post","2022","White","Unknown","HEO","170","165","35510","33300"
"In post","2022","White","Unknown","SCS level","15","10","[c]","[c]"
"In post","2022","White","Unknown","SEO","80","75","40760","40250"
"In post","2022","White","Unknown","Unknown","80","80","29620","27370"
"Leaver CS","2022","Asian","London","AA","40","[c]","[c]","[c]"
"Leaver CS","2022","Asian","London","AO","215","[c]","23930","23770"
"Leaver CS","2022","Asian","London","EO","355","[c]","29430","30750"
"Leaver CS","2022","Asian","London","G6","45","[c]","67680","66630"
"Leaver CS","2022","Asian","London","G7","130","[c]","56410","54300"
"Leaver CS","2022","Asian","London","HEO","190","[c]","34430","33940"
"Leaver CS","2022","Asian","London","SCS level","30","[c]","[c]","[c]"
"Leaver CS","2022","Asian","London","SEO","115","[c]","41790","41210"
"Leaver CS","2022","Asian","London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Outside London","AA","50","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Outside London","AO","525","[c]","21480","21260"
"Leaver CS","2022","Asian","Outside London","EO","355","[c]","27030","27570"
"Leaver CS","2022","Asian","Outside London","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Outside London","G7","40","[c]","55840","53360"
"Leaver CS","2022","Asian","Outside London","HEO","105","[c]","32470","32440"
"Leaver CS","2022","Asian","Outside London","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Outside London","SEO","100","[c]","39980","39110"
"Leaver CS","2022","Asian","Outside London","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","AO","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","London","AA","25","[c]","[c]","[c]"
"Leaver CS","2022","Black","London","AO","170","[c]","24050","23780"
"Leaver CS","2022","Black","London","EO","325","[c]","29970","31060"
"Leaver CS","2022","Black","London","G6","20","[c]","[c]","[c]"
"Leaver CS","2022","Black","London","G7","65","[c]","55930","54320"
"Leaver CS","2022","Black","London","HEO","105","[c]","34210","33570"
"Leaver CS","2022","Black","London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","London","SEO","80","[c]","43200","41990"
"Leaver CS","2022","Black","London","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2022","Black","Outside London","AA","25","[c]","[c]","[c]"
"Leaver CS","2022","Black","Outside London","AO","205","[c]","21530","21260"
"Leaver CS","2022","Black","Outside London","EO","175","[c]","27460","27570"
"Leaver CS","2022","Black","Outside London","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Outside London","G7","20","[c]","[c]","[c]"
"Leaver CS","2022","Black","Outside London","HEO","65","[c]","32580","32010"
"Leaver CS","2022","Black","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Outside London","SEO","60","[c]","42030","40000"
"Leaver CS","2022","Black","Outside London","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Black","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","London","AA","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","London","AO","55","[c]","23970","24850"
"Leaver CS","2022","Mixed","London","EO","110","[c]","29510","31060"
"Leaver CS","2022","Mixed","London","G6","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","London","G7","45","[c]","57200","57180"
"Leaver CS","2022","Mixed","London","HEO","60","[c]","35070","34250"
"Leaver CS","2022","Mixed","London","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","London","SEO","30","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Outside London","AA","20","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Outside London","AO","205","[c]","21270","21260"
"Leaver CS","2022","Mixed","Outside London","EO","160","[c]","26900","27570"
"Leaver CS","2022","Mixed","Outside London","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Outside London","G7","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Outside London","HEO","40","[c]","32190","31840"
"Leaver CS","2022","Mixed","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Outside London","SEO","35","[c]","40850","40000"
"Leaver CS","2022","Mixed","Outside London","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","AO","15","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","EO","45","[c]","30180","31060"
"Leaver CS","2022","Other ethnicity","London","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","G7","15","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","HEO","25","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","SEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Outside London","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Outside London","AO","50","[c]","21260","21260"
"Leaver CS","2022","Other ethnicity","Outside London","EO","35","[c]","27110","27570"
"Leaver CS","2022","Other ethnicity","Outside London","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Outside London","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Outside London","HEO","20","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Outside London","SEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","London","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","London","AO","55","[c]","24030","24310"
"Leaver CS","2022","Undeclared","London","EO","80","[c]","29780","30410"
"Leaver CS","2022","Undeclared","London","G6","30","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","London","G7","75","[c]","56580","56640"
"Leaver CS","2022","Undeclared","London","HEO","80","[c]","35780","35070"
"Leaver CS","2022","Undeclared","London","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","London","SEO","60","[c]","42520","42160"
"Leaver CS","2022","Undeclared","London","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Outside London","AA","70","[c]","19650","19300"
"Leaver CS","2022","Undeclared","Outside London","AO","425","[c]","22230","21260"
"Leaver CS","2022","Undeclared","Outside London","EO","365","[c]","27910","27570"
"Leaver CS","2022","Undeclared","Outside London","G6","30","[c]","[c]","[c]"
